Generation,Best,Time,Total_Time
0,293,0.125,0.125
1,293,0.045,0.170
2,293,0.050,0.220
3,293,0.045,0.265
4,293,0.032,0.297
5,293,0.030,0.327
6,293,0.038,0.365
7,293,0.044,0.409
8,293,0.031,0.440
9,297,0.040,0.480
10,297,0.041,0.521
11,297,0.035,0.556
12,297,0.026,0.582
13,297,0.023,0.605
14,297,0.039,0.644
15,297,0.030,0.674
16,299,0.030,0.704
17,299,0.029,0.733
18,299,0.037,0.770
19,304,0.036,0.806
20,304,0.046,0.852
21,304,0.070,0.922
22,304,0.039,0.961
23,304,0.033,0.994
24,304,0.036,1.030
25,304,0.034,1.064
26,304,0.024,1.088
27,304,0.035,1.123
28,304,0.024,1.147
29,304,0.027,1.174
30,304,0.034,1.208
31,304,0.028,1.236
32,304,0.027,1.263
33,304,0.024,1.287
34,304,0.027,1.314
35,304,0.026,1.340
36,304,0.026,1.366
37,314,0.027,1.393
38,314,0.028,1.421
39,314,0.027,1.448
40,314,0.026,1.474
41,314,0.028,1.502
42,314,0.031,1.533
43,325,0.024,1.557
44,325,0.029,1.586
45,325,0.030,1.616
46,325,0.025,1.641
47,325,0.026,1.667
48,325,0.030,1.697
49,325,0.039,1.736
50,325,0.023,1.759
51,325,0.030,1.789
52,325,0.035,1.824
53,330,0.039,1.863
54,330,0.023,1.886
55,330,0.033,1.919
56,330,0.031,1.950
57,330,0.035,1.985
58,330,0.025,2.010
59,330,0.025,2.035
60,330,0.030,2.065
61,330,0.020,2.085
62,330,0.021,2.106
63,330,0.029,2.135
64,330,0.024,2.159
65,330,0.030,2.189
66,330,0.030,2.219
67,330,0.033,2.252
68,330,0.025,2.277
69,330,0.023,2.300
70,330,0.027,2.327
71,330,0.028,2.355
72,330,0.022,2.377
73,330,0.030,2.407
74,330,0.020,2.427
75,330,0.030,2.457
76,330,0.029,2.486
77,330,0.019,2.505
78,334,0.025,2.530
79,334,0.019,2.549
80,334,0.020,2.569
81,334,0.029,2.598
82,334,0.020,2.618
83,334,0.016,2.634
84,334,0.023,2.657
85,334,0.033,2.690
86,334,0.024,2.714
87,334,0.020,2.734
88,337,0.025,2.759
89,337,0.020,2.779
90,337,0.030,2.809
91,337,0.025,2.834
92,340,0.023,2.857
93,340,0.025,2.882
94,340,0.030,2.912
95,340,0.015,2.927
96,340,0.019,2.946
97,340,0.020,2.966
98,340,0.020,2.986
99,340,0.020,3.006
100,340,0.015,3.021
101,340,0.019,3.040
102,340,0.015,3.055
103,340,0.020,3.075
104,340,0.020,3.095
105,340,0.018,3.113
106,340,0.022,3.135
107,340,0.015,3.150
108,340,0.015,3.165
109,340,0.020,3.185
110,340,0.015,3.200
111,340,0.024,3.224
112,340,0.022,3.246
113,340,0.033,3.279
114,340,0.017,3.296
115,343,0.019,3.315
116,343,0.020,3.335
117,343,0.026,3.361
118,343,0.019,3.380
119,343,0.025,3.405
120,343,0.018,3.423
121,343,0.018,3.441
122,343,0.022,3.463
123,343,0.020,3.483
124,343,0.015,3.498
125,343,0.015,3.513
126,343,0.015,3.528
127,343,0.019,3.547
128,343,0.016,3.563
129,343,0.020,3.583
130,343,0.010,3.593
131,343,0.010,3.603
132,343,0.020,3.623
133,343,0.023,3.646
134,343,0.017,3.663
135,343,0.017,3.680
136,343,0.020,3.700
137,343,0.020,3.720
138,343,0.015,3.735
139,343,0.010,3.745
140,343,0.027,3.772
141,343,0.017,3.789
142,353,0.017,3.806
143,353,0.018,3.824
144,353,0.020,3.844
145,353,0.020,3.864
146,353,0.010,3.874
147,353,0.020,3.894
148,353,0.020,3.914
149,353,0.020,3.934
150,353,0.020,3.954
151,353,0.018,3.972
152,353,0.018,3.990
153,353,0.020,4.010
154,353,0.020,4.030
155,353,0.010,4.040
156,353,0.037,4.077
157,353,0.020,4.097
158,353,0.020,4.117
159,353,0.015,4.132
160,353,0.018,4.150
161,353,0.015,4.165
162,354,0.016,4.181
163,354,0.019,4.200
164,354,0.020,4.220
165,354,0.011,4.231
166,354,0.011,4.242
167,354,0.015,4.257
168,354,0.015,4.272
169,354,0.020,4.292
170,354,0.015,4.307
171,354,0.016,4.323
172,354,0.015,4.338
173,354,0.016,4.354
174,354,0.019,4.373
175,354,0.014,4.387
176,354,0.011,4.398
177,354,0.021,4.419
178,354,0.018,4.437
179,354,0.015,4.452
180,354,0.010,4.462
181,354,0.029,4.491
182,354,0.016,4.507
183,355,0.017,4.524
184,355,0.016,4.540
185,355,0.020,4.560
186,355,0.014,4.574
187,355,0.015,4.589
188,355,0.015,4.604
189,355,0.015,4.619
190,355,0.020,4.639
191,355,0.020,4.659
192,355,0.007,4.666
193,355,0.015,4.681
194,355,0.014,4.695
195,355,0.017,4.712
196,355,0.018,4.730
197,355,0.020,4.750
198,355,0.011,4.761
199,355,0.010,4.771
200,355,0.020,4.791
201,355,0.020,4.811
202,355,0.020,4.831
203,355,0.006,4.837
204,355,0.017,4.854
205,355,0.023,4.877
206,355,0.020,4.897
207,355,0.014,4.911
208,355,0.015,4.926
209,355,0.017,4.943
210,355,0.014,4.957
211,355,0.020,4.977
