Generation,Best,Time,Total_Time
0,267,0.206,0.206
1,267,0.064,0.270
2,267,0.038,0.308
3,267,0.048,0.356
4,267,0.056,0.412
5,267,0.040,0.452
6,267,0.044,0.496
7,267,0.033,0.529
8,267,0.029,0.558
9,267,0.029,0.587
10,267,0.029,0.616
11,267,0.028,0.644
12,267,0.033,0.677
13,267,0.033,0.710
14,267,0.150,0.860
15,267,0.079,0.939
16,267,0.055,0.994
17,267,0.035,1.029
18,267,0.038,1.067
19,267,0.033,1.100
20,267,0.031,1.131
21,267,0.030,1.161
22,267,0.031,1.192
23,267,0.034,1.226
24,267,0.030,1.256
25,267,0.029,1.285
26,267,0.028,1.313
27,267,0.037,1.350
28,267,0.062,1.412
29,267,0.032,1.444
30,267,0.031,1.475
31,267,0.031,1.506
32,267,0.028,1.534
33,267,0.034,1.568
34,267,0.029,1.597
35,267,0.029,1.626
36,267,0.029,1.655
37,267,0.031,1.686
38,267,0.032,1.718
39,267,0.028,1.746
40,267,0.031,1.777
41,267,0.029,1.806
42,267,0.029,1.835
43,267,0.026,1.861
44,267,0.027,1.888
45,267,0.034,1.922
46,267,0.032,1.954
47,267,0.030,1.984
48,267,0.029,2.013
49,267,0.031,2.044
50,267,0.026,2.070
51,267,0.031,2.101
52,267,0.031,2.132
53,267,0.037,2.169
54,267,0.030,2.199
55,267,0.033,2.232
56,267,0.033,2.265
57,267,0.034,2.299
58,267,0.046,2.345
59,267,0.030,2.375
60,267,0.028,2.403
61,267,0.034,2.437
62,267,0.029,2.466
63,267,0.028,2.494
64,267,0.026,2.520
65,267,0.027,2.547
66,267,0.029,2.576
67,267,0.028,2.604
68,267,0.033,2.637
69,267,0.031,2.668
70,267,0.030,2.698
71,267,0.033,2.731
72,267,0.030,2.761
73,267,0.029,2.790
74,267,0.027,2.817
75,267,0.030,2.847
76,267,0.034,2.881
77,267,0.034,2.915
78,267,0.028,2.943
79,267,0.029,2.972
80,267,0.026,2.998
81,267,0.033,3.031
82,267,0.026,3.057
83,267,0.036,3.093
84,267,0.030,3.123
85,267,0.030,3.153
86,267,0.029,3.182
87,267,0.028,3.210
88,267,0.031,3.241
89,267,0.026,3.267
90,267,0.028,3.295
91,267,0.028,3.323
92,267,0.028,3.351
93,267,0.029,3.380
94,267,0.028,3.408
95,267,0.029,3.437
96,267,0.031,3.468
97,267,0.031,3.499
98,267,0.031,3.530
99,267,0.032,3.562
100,267,0.028,3.590
101,267,0.027,3.617
102,267,0.027,3.644
103,267,0.028,3.672
104,267,0.028,3.700
105,267,0.026,3.726
106,267,0.029,3.755
107,267,0.027,3.782
108,267,0.031,3.813
109,267,0.028,3.841
110,267,0.028,3.869
111,267,0.028,3.897
112,267,0.027,3.924
113,267,0.028,3.952
114,267,0.031,3.983
115,267,0.033,4.016
116,267,0.026,4.042
117,267,0.027,4.069
118,267,0.030,4.099
119,267,0.030,4.129
120,267,0.029,4.158
121,267,0.029,4.187
122,267,0.029,4.216
123,267,0.032,4.248
124,267,0.030,4.278
125,267,0.027,4.305
126,267,0.028,4.333
127,267,0.030,4.363
128,267,0.033,4.396
129,267,0.030,4.426
130,267,0.029,4.455
131,267,0.029,4.484
132,267,0.027,4.511
133,267,0.055,4.566
134,267,0.030,4.596
135,267,0.031,4.627
136,267,0.033,4.660
137,267,0.035,4.695
138,267,0.068,4.763
139,267,0.034,4.797
140,267,0.036,4.833
141,267,0.034,4.867
142,267,0.030,4.897
143,267,0.030,4.927
144,267,0.027,4.954
145,267,0.028,4.982
146,267,0.031,5.013
147,267,0.028,5.041
148,267,0.027,5.068
149,267,0.028,5.096
150,267,0.029,5.125
151,267,0.030,5.155
152,267,0.032,5.187
153,267,0.032,5.219
154,267,0.031,5.250
155,267,0.029,5.279
156,267,0.031,5.310
157,267,0.030,5.340
158,267,0.028,5.368
159,267,0.031,5.399
160,267,0.033,5.432
161,267,0.030,5.462
162,267,0.031,5.493
163,267,0.030,5.523
164,267,0.029,5.552
165,267,0.031,5.583
166,267,0.036,5.619
167,267,0.029,5.648
168,267,0.029,5.677
169,267,0.028,5.705
170,267,0.026,5.731
171,267,0.030,5.761
172,267,0.030,5.791
173,267,0.030,5.821
174,267,0.028,5.849
175,267,0.028,5.877
176,267,0.030,5.907
177,267,0.030,5.937
178,267,0.030,5.967
179,267,0.028,5.995
180,267,0.027,6.022
181,267,0.028,6.050
182,267,0.027,6.077
183,267,0.028,6.105
184,267,0.030,6.135
185,267,0.028,6.163
186,267,0.027,6.190
187,267,0.028,6.218
188,267,0.030,6.248
189,267,0.027,6.275
190,267,0.028,6.303
191,267,0.030,6.333
192,267,0.027,6.360
193,267,0.029,6.389
194,267,0.029,6.418
195,267,0.027,6.445
196,267,0.028,6.473
197,267,0.030,6.503
198,267,0.027,6.530
199,267,0.025,6.555
200,267,0.032,6.587
201,267,0.031,6.618
202,267,0.029,6.647
203,267,0.032,6.679
204,267,0.033,6.712
205,267,0.026,6.738
206,267,0.031,6.769
207,267,0.028,6.797
208,267,0.029,6.826
209,267,0.035,6.861
210,267,0.028,6.889
211,267,0.032,6.921
212,267,0.026,6.947
213,267,0.029,6.976
214,267,0.035,7.011
215,267,0.027,7.038
216,267,0.032,7.070
217,267,0.030,7.100
218,267,0.030,7.130
219,267,0.028,7.158
220,267,0.031,7.189
221,267,0.029,7.218
222,267,0.029,7.247
223,267,0.028,7.275
224,267,0.028,7.303
225,267,0.028,7.331
226,267,0.025,7.356
227,267,0.031,7.387
228,267,0.031,7.418
229,267,0.027,7.445
230,267,0.028,7.473
231,267,0.031,7.504
232,267,0.027,7.531
233,267,0.026,7.557
234,267,0.029,7.586
235,267,0.087,7.673
236,267,0.029,7.702
237,267,0.029,7.731
238,267,0.028,7.759
239,267,0.027,7.786
240,267,0.026,7.812
241,267,0.032,7.844
242,267,0.030,7.874
243,267,0.029,7.903
244,267,0.029,7.932
245,267,0.028,7.960
246,267,0.030,7.990
247,267,0.029,8.019
248,267,0.026,8.045
249,267,0.028,8.073
250,267,0.040,8.113
251,267,0.038,8.151
252,267,0.032,8.183
253,267,0.035,8.218
254,267,0.032,8.250
255,267,0.033,8.283
256,267,0.029,8.312
257,267,0.033,8.345
258,267,0.030,8.375
259,267,0.030,8.405
260,267,0.028,8.433
261,267,0.027,8.460
262,267,0.029,8.489
263,267,0.027,8.516
264,267,0.029,8.545
265,267,0.032,8.577
266,267,0.033,8.610
267,267,0.028,8.638
268,267,0.031,8.669
269,267,0.029,8.698
270,267,0.029,8.727
271,267,0.026,8.753
272,267,0.033,8.786
273,267,0.035,8.821
274,267,0.031,8.852
275,267,0.036,8.888
276,267,0.036,8.924
277,267,0.038,8.962
278,267,0.029,8.991
279,267,0.028,9.019
280,267,0.029,9.048
281,267,0.029,9.077
282,267,0.029,9.106
283,267,0.029,9.135
284,267,0.037,9.172
285,267,0.036,9.208
286,267,0.032,9.240
287,267,0.033,9.273
288,267,0.036,9.309
289,267,0.033,9.342
290,267,0.044,9.386
291,267,0.031,9.417
292,267,0.030,9.447
293,267,0.028,9.475
294,267,0.027,9.502
295,267,0.032,9.534
296,267,0.031,9.565
297,267,0.029,9.594
298,267,0.031,9.625
299,267,0.031,9.656
