Maximum fit for each generation: 
Best fit for generation 0: 288
Best fit for generation 1: 288
Best fit for generation 2: 288
Best fit for generation 3: 288
Best fit for generation 4: 288
Best fit for generation 5: 288
Best fit for generation 6: 288
Best fit for generation 7: 288
Best fit for generation 8: 288
Best fit for generation 9: 288
Best fit for generation 10: 288
Best fit for generation 11: 288
Best fit for generation 12: 288
Best fit for generation 13: 288
Best fit for generation 14: 288
Best fit for generation 15: 288
Best fit for generation 16: 288
Best fit for generation 17: 288
Best fit for generation 18: 288
Best fit for generation 19: 288
Best fit for generation 20: 288
Best fit for generation 21: 288
Best fit for generation 22: 288
Best fit for generation 23: 288
Best fit for generation 24: 288
Best fit for generation 25: 288
Best fit for generation 26: 288
Best fit for generation 27: 288
Best fit for generation 28: 288
Best fit for generation 29: 288
Best fit for generation 30: 288
Best fit for generation 31: 288
Best fit for generation 32: 288
Best fit for generation 33: 288
Best fit for generation 34: 288
Best fit for generation 35: 288
Best fit for generation 36: 288
Best fit for generation 37: 288
Best fit for generation 38: 288
Best fit for generation 39: 288
Best fit for generation 40: 288
Best fit for generation 41: 288
Best fit for generation 42: 288
Best fit for generation 43: 288
Best fit for generation 44: 288
Best fit for generation 45: 288
Best fit for generation 46: 288
Best fit for generation 47: 288
Best fit for generation 48: 288
Best fit for generation 49: 288
Best fit for generation 50: 288
Best fit for generation 51: 288
Best fit for generation 52: 288
Best fit for generation 53: 288
Best fit for generation 54: 288
Best fit for generation 55: 288
Best fit for generation 56: 288
Best fit for generation 57: 288
Best fit for generation 58: 288
Best fit for generation 59: 288
Best fit for generation 60: 288
Best fit for generation 61: 288
Best fit for generation 62: 288
Best fit for generation 63: 288
Best fit for generation 64: 288
Best fit for generation 65: 288
Best fit for generation 66: 288
Best fit for generation 67: 288
Best fit for generation 68: 288
Best fit for generation 69: 288
Best fit for generation 70: 288
Best fit for generation 71: 288
Best fit for generation 72: 288
Best fit for generation 73: 288
Best fit for generation 74: 288
Best fit for generation 75: 288
Best fit for generation 76: 288
Best fit for generation 77: 288
Best fit for generation 78: 288
Best fit for generation 79: 288
Best fit for generation 80: 288
Best fit for generation 81: 288
Best fit for generation 82: 288
Best fit for generation 83: 288
Best fit for generation 84: 288
Best fit for generation 85: 288
Best fit for generation 86: 288
Best fit for generation 87: 288
Best fit for generation 88: 288
Best fit for generation 89: 288
Best fit for generation 90: 288
Best fit for generation 91: 288
Best fit for generation 92: 288
Best fit for generation 93: 288
Best fit for generation 94: 288
Best fit for generation 95: 288
Best fit for generation 96: 288
Best fit for generation 97: 288
Best fit for generation 98: 288
Best fit for generation 99: 288
Best fit for generation 100: 288
Best fit for generation 101: 288
Best fit for generation 102: 288
Best fit for generation 103: 298
Best fit for generation 104: 298
Best fit for generation 105: 298
Best fit for generation 106: 298
Best fit for generation 107: 298
Best fit for generation 108: 298
Best fit for generation 109: 298
Best fit for generation 110: 298
Best fit for generation 111: 298
Best fit for generation 112: 298
Best fit for generation 113: 298
Best fit for generation 114: 298
Best fit for generation 115: 298
Best fit for generation 116: 298
Best fit for generation 117: 298
Best fit for generation 118: 298
Best fit for generation 119: 298
Best fit for generation 120: 298
Best fit for generation 121: 298
Best fit for generation 122: 298
Best fit for generation 123: 298
Best fit for generation 124: 298
Best fit for generation 125: 298
Best fit for generation 126: 298
Best fit for generation 127: 298
Best fit for generation 128: 298
Best fit for generation 129: 298
Best fit for generation 130: 298
Best fit for generation 131: 298
Best fit for generation 132: 298
Best fit for generation 133: 298
Best fit for generation 134: 298
Best fit for generation 135: 298
Best fit for generation 136: 298
Best fit for generation 137: 298
Best fit for generation 138: 298
Best fit for generation 139: 298
Best fit for generation 140: 298
Best fit for generation 141: 298
Best fit for generation 142: 298
Best fit for generation 143: 298
