Maximum fit for each generation: 
Best fit for generation 245: 608
Best fit for generation 246: 608
Best fit for generation 247: 608
Best fit for generation 248: 608
Best fit for generation 249: 608
Best fit for generation 250: 608
Best fit for generation 251: 608
Best fit for generation 252: 608
Best fit for generation 253: 608
Best fit for generation 254: 608
Best fit for generation 255: 608
Best fit for generation 256: 608
Best fit for generation 257: 608
Best fit for generation 258: 608
Best fit for generation 259: 608
Best fit for generation 260: 608
Best fit for generation 261: 608
Best fit for generation 262: 608
Best fit for generation 263: 608
Best fit for generation 264: 608
Best fit for generation 265: 608
Best fit for generation 266: 608
Best fit for generation 267: 608
Best fit for generation 268: 608
Best fit for generation 269: 608
Best fit for generation 270: 608
Best fit for generation 271: 608
Best fit for generation 272: 608
Best fit for generation 273: 608
Best fit for generation 274: 608
Best fit for generation 275: 608
Best fit for generation 276: 608
Best fit for generation 277: 608
Best fit for generation 278: 608
Best fit for generation 279: 608
Best fit for generation 280: 608
Best fit for generation 281: 608
Best fit for generation 282: 608
Best fit for generation 283: 608
Best fit for generation 284: 608
Best fit for generation 285: 608
Best fit for generation 286: 608
Best fit for generation 287: 608
Best fit for generation 288: 608
Best fit for generation 289: 608
Best fit for generation 290: 608
Best fit for generation 291: 608
Best fit for generation 292: 608
Best fit for generation 293: 608
Best fit for generation 294: 608
Best fit for generation 295: 608
Best fit for generation 296: 608
Best fit for generation 297: 608
Best fit for generation 298: 608
Best fit for generation 299: 608
Best fit for generation 300: 608
Best fit for generation 301: 608
Best fit for generation 302: 608
Best fit for generation 303: 608
Best fit for generation 304: 608
Best fit for generation 305: 608
Best fit for generation 306: 608
Best fit for generation 307: 608
Best fit for generation 308: 608
Best fit for generation 309: 608
Best fit for generation 310: 608
Best fit for generation 311: 608
Best fit for generation 312: 608
Best fit for generation 313: 608
Best fit for generation 314: 608
Best fit for generation 315: 608
Best fit for generation 316: 608
Best fit for generation 317: 608
Best fit for generation 318: 608
Best fit for generation 319: 608
Best fit for generation 320: 608
Best fit for generation 321: 608
Best fit for generation 322: 608
Best fit for generation 323: 608
Best fit for generation 324: 608
Best fit for generation 325: 608
Best fit for generation 326: 608
Best fit for generation 327: 608
Best fit for generation 328: 608
Best fit for generation 329: 608
Best fit for generation 330: 608
Best fit for generation 331: 608
Best fit for generation 332: 608
Best fit for generation 333: 608
Best fit for generation 334: 608
Best fit for generation 335: 608
Best fit for generation 336: 608
Best fit for generation 337: 608
Best fit for generation 338: 608
Best fit for generation 339: 608
Best fit for generation 340: 608
Best fit for generation 341: 608
Best fit for generation 342: 608
Best fit for generation 343: 608
Best fit for generation 344: 608
Best fit for generation 345: 608
Best fit for generation 346: 608
Best fit for generation 347: 608
Best fit for generation 348: 608
Best fit for generation 349: 608
Best fit for generation 350: 608
