Generation,Best,Time,Total_Time
0,491,0.170,0.170
1,491,0.067,0.237
2,491,0.076,0.313
3,491,0.047,0.360
4,505,0.061,0.421
5,505,0.056,0.477
6,505,0.068,0.545
7,505,0.059,0.604
8,505,0.050,0.654
9,512,0.046,0.700
10,512,0.038,0.738
11,517,0.046,0.784
12,517,0.039,0.823
13,517,0.058,0.881
14,538,0.041,0.922
15,538,0.037,0.959
16,538,0.034,0.993
17,538,0.036,1.029
18,538,0.044,1.073
19,538,0.030,1.103
20,538,0.046,1.149
21,538,0.034,1.183
22,538,0.035,1.218
23,538,0.031,1.249
24,550,0.040,1.289
25,550,0.034,1.323
26,550,0.033,1.356
27,550,0.027,1.383
28,550,0.030,1.413
29,550,0.041,1.454
30,550,0.033,1.487
31,550,0.030,1.517
32,550,0.055,1.572
33,550,0.032,1.604
34,550,0.032,1.636
35,550,0.035,1.671
36,550,0.035,1.706
37,550,0.030,1.736
38,550,0.033,1.769
39,550,0.034,1.803
40,550,0.036,1.839
41,550,0.038,1.877
42,550,0.030,1.907
43,550,0.033,1.940
44,550,0.030,1.970
45,550,0.039,2.009
46,550,0.047,2.056
47,550,0.038,2.094
48,550,0.039,2.133
49,550,0.046,2.179
50,550,0.053,2.232
51,550,0.040,2.272
52,550,0.029,2.301
53,550,0.033,2.334
54,550,0.037,2.371
55,550,0.036,2.407
56,550,0.040,2.447
57,550,0.041,2.488
58,550,0.036,2.524
59,550,0.031,2.555
60,550,0.039,2.594
61,550,0.038,2.632
62,550,0.034,2.666
63,550,0.037,2.703
64,550,0.026,2.729
65,550,0.029,2.758
66,550,0.035,2.793
67,550,0.032,2.825
68,550,0.032,2.857
69,550,0.034,2.891
70,550,0.040,2.931
71,550,0.032,2.963
72,550,0.030,2.993
73,550,0.042,3.035
74,550,0.030,3.065
75,550,0.029,3.094
76,550,0.028,3.122
77,550,0.028,3.150
78,550,0.037,3.187
79,550,0.029,3.216
80,550,0.030,3.246
81,550,0.029,3.275
82,550,0.030,3.305
83,550,0.032,3.337
84,550,0.034,3.371
85,550,0.035,3.406
86,550,0.042,3.448
87,550,0.034,3.482
88,550,0.043,3.525
89,550,0.038,3.563
90,550,0.030,3.593
91,550,0.035,3.628
92,550,0.042,3.670
93,550,0.039,3.709
94,550,0.032,3.741
95,550,0.033,3.774
96,550,0.036,3.810
97,550,0.036,3.846
98,550,0.035,3.881
99,550,0.033,3.914
100,550,0.034,3.948
101,550,0.030,3.978
102,550,0.031,4.009
103,550,0.038,4.047
104,550,0.037,4.084
105,550,0.027,4.111
106,550,0.034,4.145
107,550,0.035,4.180
108,550,0.029,4.209
109,550,0.030,4.239
110,550,0.034,4.273
111,550,0.034,4.307
112,550,0.027,4.334
113,550,0.035,4.369
114,550,0.037,4.406
115,550,0.030,4.436
116,550,0.034,4.470
117,550,0.033,4.503
118,550,0.029,4.532
119,550,0.036,4.568
