Maximum fit for each generation: 
Best fit for generation 0: 816
Best fit for generation 1: 816
Best fit for generation 2: 816
Best fit for generation 3: 819
Best fit for generation 4: 819
Best fit for generation 5: 819
Best fit for generation 6: 819
Best fit for generation 7: 819
Best fit for generation 8: 819
Best fit for generation 9: 819
Best fit for generation 10: 819
Best fit for generation 11: 819
Best fit for generation 12: 819
Best fit for generation 13: 819
Best fit for generation 14: 819
Best fit for generation 15: 819
Best fit for generation 16: 819
Best fit for generation 17: 819
Best fit for generation 18: 819
Best fit for generation 19: 819
Best fit for generation 20: 819
Best fit for generation 21: 819
Best fit for generation 22: 819
Best fit for generation 23: 819
Best fit for generation 24: 819
Best fit for generation 25: 819
Best fit for generation 26: 819
Best fit for generation 27: 819
Best fit for generation 28: 819
Best fit for generation 29: 819
Best fit for generation 30: 819
Best fit for generation 31: 819
Best fit for generation 32: 819
Best fit for generation 33: 819
Best fit for generation 34: 819
Best fit for generation 35: 819
Best fit for generation 36: 819
Best fit for generation 37: 819
Best fit for generation 38: 819
Best fit for generation 39: 819
Best fit for generation 40: 819
Best fit for generation 41: 819
Best fit for generation 42: 819
Best fit for generation 43: 819
Best fit for generation 44: 819
Best fit for generation 45: 819
Best fit for generation 46: 819
Best fit for generation 47: 819
Best fit for generation 48: 819
Best fit for generation 49: 819
Best fit for generation 50: 819
Best fit for generation 51: 819
Best fit for generation 52: 819
Best fit for generation 53: 819
Best fit for generation 54: 819
Best fit for generation 55: 819
Best fit for generation 56: 819
Best fit for generation 57: 819
Best fit for generation 58: 819
Best fit for generation 59: 819
Best fit for generation 60: 819
Best fit for generation 61: 819
Best fit for generation 62: 819
Best fit for generation 63: 819
Best fit for generation 64: 819
Best fit for generation 65: 819
Best fit for generation 66: 819
Best fit for generation 67: 819
Best fit for generation 68: 819
Best fit for generation 69: 819
Best fit for generation 70: 819
Best fit for generation 71: 819
Best fit for generation 72: 819
Best fit for generation 73: 819
Best fit for generation 74: 819
Best fit for generation 75: 837
Best fit for generation 76: 837
Best fit for generation 77: 837
Best fit for generation 78: 837
Best fit for generation 79: 837
Best fit for generation 80: 837
Best fit for generation 81: 839
Best fit for generation 82: 839
Best fit for generation 83: 854
Best fit for generation 84: 854
Best fit for generation 85: 854
Best fit for generation 86: 854
Best fit for generation 87: 854
Best fit for generation 88: 854
Best fit for generation 89: 854
Best fit for generation 90: 854
Best fit for generation 91: 854
Best fit for generation 92: 854
Best fit for generation 93: 854
Best fit for generation 94: 870
Best fit for generation 95: 870
Best fit for generation 96: 870
Best fit for generation 97: 870
Best fit for generation 98: 870
Best fit for generation 99: 870
Best fit for generation 100: 870
Best fit for generation 101: 870
Best fit for generation 102: 870
Best fit for generation 103: 870
Best fit for generation 104: 870
Best fit for generation 105: 870
Best fit for generation 106: 870
Best fit for generation 107: 870
Best fit for generation 108: 870
Best fit for generation 109: 870
Best fit for generation 110: 870
Best fit for generation 111: 870
Best fit for generation 112: 870
Best fit for generation 113: 870
Best fit for generation 114: 870
Best fit for generation 115: 870
Best fit for generation 116: 870
Best fit for generation 117: 870
Best fit for generation 118: 870
Best fit for generation 119: 870
Best fit for generation 120: 876
Best fit for generation 121: 876
Best fit for generation 122: 876
Best fit for generation 123: 876
Best fit for generation 124: 876
Best fit for generation 125: 876
Best fit for generation 126: 876
Best fit for generation 127: 876
Best fit for generation 128: 876
Best fit for generation 129: 876
Best fit for generation 130: 876
Best fit for generation 131: 876
Best fit for generation 132: 876
Best fit for generation 133: 876
Best fit for generation 134: 876
Best fit for generation 135: 876
Best fit for generation 136: 876
Best fit for generation 137: 876
Best fit for generation 138: 876
Best fit for generation 139: 876
Best fit for generation 140: 876
Best fit for generation 141: 876
Best fit for generation 142: 876
Best fit for generation 143: 876
Best fit for generation 144: 876
Best fit for generation 145: 876
Best fit for generation 146: 876
Best fit for generation 147: 876
Best fit for generation 148: 876
Best fit for generation 149: 876
Best fit for generation 150: 876
Best fit for generation 151: 876
Best fit for generation 152: 876
Best fit for generation 153: 876
Best fit for generation 154: 876
Best fit for generation 155: 876
Best fit for generation 156: 876
Best fit for generation 157: 876
Best fit for generation 158: 876
Best fit for generation 159: 876
Best fit for generation 160: 876
Best fit for generation 161: 876
Best fit for generation 162: 876
Best fit for generation 163: 876
Best fit for generation 164: 876
Best fit for generation 165: 876
Best fit for generation 166: 877
Best fit for generation 167: 877
Best fit for generation 168: 877
Best fit for generation 169: 877
Best fit for generation 170: 877
Best fit for generation 171: 877
Best fit for generation 172: 877
Best fit for generation 173: 877
Best fit for generation 174: 877
Best fit for generation 175: 877
Best fit for generation 176: 877
Best fit for generation 177: 877
Best fit for generation 178: 877
Best fit for generation 179: 877
Best fit for generation 180: 877
Best fit for generation 181: 877
Best fit for generation 182: 877
Best fit for generation 183: 877
Best fit for generation 184: 877
Best fit for generation 185: 877
Best fit for generation 186: 877
Best fit for generation 187: 877
Best fit for generation 188: 877
Best fit for generation 189: 877
Best fit for generation 190: 877
Best fit for generation 191: 877
Best fit for generation 192: 877
Best fit for generation 193: 877
Best fit for generation 194: 877
Best fit for generation 195: 877
Best fit for generation 196: 877
Best fit for generation 197: 877
Best fit for generation 198: 877
Best fit for generation 199: 877
Best fit for generation 200: 877
