Generation,Best,Time,Total_Time
0,500,0.293,0.293
1,500,0.060,0.353
2,500,0.068,0.421
3,500,0.100,0.521
4,500,0.046,0.567
5,500,0.042,0.609
6,500,0.073,0.682
7,500,0.053,0.735
8,517,0.092,0.827
9,517,0.059,0.886
10,517,0.044,0.930
11,519,0.069,0.999
12,519,0.044,1.043
13,519,0.071,1.114
14,519,0.058,1.172
15,519,0.032,1.204
16,519,0.032,1.236
17,519,0.032,1.268
18,519,0.029,1.297
19,519,0.041,1.338
20,519,0.031,1.369
21,519,0.036,1.405
22,519,0.033,1.438
23,519,0.030,1.468
24,519,0.029,1.497
25,519,0.051,1.548
26,519,0.055,1.603
27,519,0.039,1.642
28,519,0.030,1.672
29,519,0.037,1.709
30,519,0.050,1.759
31,519,0.039,1.798
32,519,0.034,1.832
33,525,0.031,1.863
34,525,0.036,1.899
35,525,0.028,1.927
36,525,0.034,1.961
37,535,0.030,1.991
38,535,0.031,2.022
39,535,0.031,2.053
40,535,0.032,2.085
41,535,0.040,2.125
42,535,0.034,2.159
43,535,0.035,2.194
44,535,0.041,2.235
45,535,0.033,2.268
46,535,0.026,2.294
47,535,0.032,2.326
48,535,0.034,2.360
49,535,0.030,2.390
50,535,0.048,2.438
51,535,0.031,2.469
52,535,0.034,2.503
53,535,0.037,2.540
54,535,0.041,2.581
55,535,0.039,2.620
56,535,0.039,2.659
57,535,0.040,2.699
58,535,0.032,2.731
59,535,0.036,2.767
60,535,0.075,2.842
61,535,0.040,2.882
62,535,0.036,2.918
63,535,0.042,2.960
64,535,0.036,2.996
65,535,0.028,3.024
66,535,0.032,3.056
67,538,0.034,3.090
68,538,0.029,3.119
69,538,0.036,3.155
70,538,0.034,3.189
71,538,0.034,3.223
72,538,0.032,3.255
73,538,0.031,3.286
74,538,0.026,3.312
75,538,0.030,3.342
76,538,0.029,3.371
77,538,0.030,3.401
78,538,0.032,3.433
79,538,0.028,3.461
80,538,0.030,3.491
81,538,0.034,3.525
82,538,0.027,3.552
83,538,0.036,3.588
84,545,0.031,3.619
85,545,0.044,3.663
86,545,0.029,3.692
87,545,0.034,3.726
88,545,0.035,3.761
89,545,0.035,3.796
90,545,0.031,3.827
91,545,0.035,3.862
92,545,0.033,3.895
93,545,0.034,3.929
94,545,0.032,3.961
95,545,0.028,3.989
96,545,0.034,4.023
97,545,0.035,4.058
98,545,0.031,4.089
99,545,0.039,4.128
100,545,0.032,4.160
101,545,0.038,4.198
102,545,0.033,4.231
103,545,0.030,4.261
104,545,0.026,4.287
105,545,0.033,4.320
106,545,0.034,4.354
107,545,0.034,4.388
108,545,0.048,4.436
109,545,0.034,4.470
110,545,0.030,4.500
111,554,0.031,4.531
112,554,0.031,4.562
113,554,0.048,4.610
114,554,0.039,4.649
115,554,0.040,4.689
116,554,0.045,4.734
117,554,0.035,4.769
118,554,0.040,4.809
119,554,0.144,4.953
120,554,0.056,5.009
121,554,0.045,5.054
122,554,0.061,5.115
123,555,0.050,5.165
124,555,0.047,5.212
125,555,0.048,5.260
126,555,0.040,5.300
127,555,0.037,5.337
128,555,0.039,5.376
129,555,0.034,5.410
130,555,0.027,5.437
131,555,0.032,5.469
132,555,0.037,5.506
133,555,0.034,5.540
134,555,0.041,5.581
135,555,0.043,5.624
136,555,0.045,5.669
137,555,0.051,5.720
138,555,0.036,5.756
139,555,0.029,5.785
140,555,0.046,5.831
141,555,0.053,5.884
142,555,0.039,5.923
143,555,0.106,6.029
144,555,0.049,6.078
145,555,0.039,6.117
146,555,0.035,6.152
147,555,0.029,6.181
148,555,0.031,6.212
149,555,0.036,6.248
150,555,0.039,6.287
151,555,0.039,6.326
152,557,0.030,6.356
153,557,0.031,6.387
154,557,0.052,6.439
155,569,0.037,6.476
156,569,0.039,6.515
157,569,0.036,6.551
158,569,0.039,6.590
159,569,0.030,6.620
160,569,0.039,6.659
161,569,0.029,6.688
162,569,0.028,6.716
163,569,0.031,6.747
164,569,0.036,6.783
165,569,0.044,6.827
166,569,0.037,6.864
167,569,0.027,6.891
168,569,0.028,6.919
169,569,0.033,6.952
170,569,0.034,6.986
171,569,0.035,7.021
172,569,0.028,7.049
173,569,0.029,7.078
174,569,0.043,7.121
175,569,0.045,7.166
176,569,0.034,7.200
177,569,0.031,7.231
178,569,0.041,7.272
179,569,0.029,7.301
180,569,0.035,7.336
181,569,0.027,7.363
182,569,0.035,7.398
183,569,0.031,7.429
184,569,0.032,7.461
185,569,0.038,7.499
186,569,0.038,7.537
187,569,0.030,7.567
188,569,0.041,7.608
189,569,0.029,7.637
190,569,0.030,7.667
191,569,0.034,7.701
192,569,0.041,7.742
193,569,0.039,7.781
194,569,0.031,7.812
195,569,0.044,7.856
196,569,0.046,7.902
197,569,0.027,7.929
198,569,0.028,7.957
199,569,0.030,7.987
200,569,0.030,8.017
201,569,0.027,8.044
202,569,0.037,8.081
203,569,0.033,8.114
204,569,0.026,8.140
205,569,0.035,8.175
206,569,0.038,8.213
207,569,0.033,8.246
208,569,0.028,8.274
209,569,0.027,8.301
210,569,0.030,8.331
211,569,0.030,8.361
212,569,0.036,8.397
213,569,0.035,8.432
214,569,0.030,8.462
215,569,0.030,8.492
216,569,0.029,8.521
217,569,0.040,8.561
218,569,0.038,8.599
219,569,0.035,8.634
220,569,0.032,8.666
221,569,0.036,8.702
222,569,0.060,8.762
223,569,0.040,8.802
224,569,0.036,8.838
225,569,0.038,8.876
226,569,0.025,8.901
227,569,0.038,8.939
228,569,0.036,8.975
229,569,0.036,9.011
230,569,0.040,9.051
231,569,0.041,9.092
232,569,0.033,9.125
233,569,0.043,9.168
234,569,0.074,9.242
235,569,0.038,9.280
236,569,0.047,9.327
237,569,0.042,9.369
238,569,0.052,9.421
239,569,0.033,9.454
240,569,0.036,9.490
241,569,0.029,9.519
242,569,0.031,9.550
243,569,0.030,9.580
244,569,0.027,9.607
245,569,0.060,9.667
246,569,0.121,9.788
247,569,0.084,9.872
248,569,0.052,9.924
249,569,0.088,10.012
250,569,0.065,10.077
251,569,0.043,10.120
252,569,0.053,10.173
253,569,0.036,10.209
254,569,0.039,10.248
255,569,0.034,10.282
256,569,0.037,10.319
257,569,0.033,10.352
258,569,0.034,10.386
259,569,0.032,10.418
260,569,0.035,10.453
261,569,0.031,10.484
262,569,0.033,10.517
263,569,0.032,10.549
264,569,0.032,10.581
265,569,0.028,10.609
266,569,0.029,10.638
267,569,0.035,10.673
268,569,0.030,10.703
269,569,0.032,10.735
270,569,0.031,10.766
271,569,0.031,10.797
272,569,0.034,10.831
273,569,0.037,10.868
274,569,0.032,10.900
275,569,0.041,10.941
276,569,0.028,10.969
277,569,0.035,11.004
278,569,0.047,11.051
279,569,0.041,11.092
280,569,0.053,11.145
281,572,0.082,11.227
282,572,0.060,11.287
283,572,0.067,11.354
284,572,0.050,11.404
285,572,0.042,11.446
286,572,0.048,11.494
287,572,0.043,11.537
288,572,0.037,11.574
289,572,0.032,11.606
290,578,0.033,11.639
291,578,0.051,11.690
292,578,0.031,11.721
293,578,0.033,11.754
294,578,0.028,11.782
295,578,0.044,11.826
296,578,0.036,11.862
297,578,0.042,11.904
298,578,0.037,11.941
299,578,0.035,11.976
300,578,0.034,12.010
301,578,0.035,12.045
302,578,0.043,12.088
303,578,0.048,12.136
304,578,0.054,12.190
305,578,0.062,12.252
306,578,0.043,12.295
307,578,0.036,12.331
308,578,0.038,12.369
309,578,0.047,12.416
310,578,0.046,12.462
311,578,0.049,12.511
312,578,0.062,12.573
313,578,0.045,12.618
314,578,0.037,12.655
315,578,0.064,12.719
316,578,0.099,12.818
317,578,0.058,12.876
318,578,0.035,12.911
319,578,0.055,12.966
320,578,0.052,13.018
321,578,0.042,13.060
322,578,0.078,13.138
323,578,0.053,13.191
324,578,0.048,13.239
325,578,0.060,13.299
326,578,0.064,13.363
327,578,0.048,13.411
328,578,0.053,13.464
329,578,0.053,13.517
330,578,0.041,13.558
331,578,0.041,13.599
332,578,0.039,13.638
333,578,0.036,13.674
334,578,0.031,13.705
335,578,0.038,13.743
336,578,0.029,13.772
337,578,0.030,13.802
338,578,0.034,13.836
339,578,0.039,13.875
340,578,0.030,13.905
341,578,0.033,13.938
342,578,0.040,13.978
343,578,0.029,14.007
344,578,0.040,14.047
345,578,0.033,14.080
346,578,0.043,14.123
347,578,0.037,14.160
348,578,0.038,14.198
349,578,0.033,14.231
350,578,0.037,14.268
351,578,0.066,14.334
352,578,0.040,14.374
353,578,0.038,14.412
354,578,0.036,14.448
355,578,0.033,14.481
356,578,0.032,14.513
357,578,0.028,14.541
358,578,0.037,14.578
359,578,0.041,14.619
360,578,0.042,14.661
361,578,0.034,14.695
362,578,0.037,14.732
363,578,0.036,14.768
364,578,0.027,14.795
365,578,0.033,14.828
366,578,0.034,14.862
367,578,0.043,14.905
368,578,0.041,14.946
369,578,0.045,14.991
370,578,0.044,15.035
371,578,0.039,15.074
372,578,0.041,15.115
373,578,0.042,15.157
374,578,0.036,15.193
375,578,0.040,15.233
376,578,0.035,15.268
377,578,0.035,15.303
378,578,0.038,15.341
379,578,0.031,15.372
380,578,0.036,15.408
381,578,0.031,15.439
382,578,0.041,15.480
383,578,0.037,15.517
384,578,0.026,15.543
385,578,0.028,15.571
386,578,0.036,15.607
387,578,0.043,15.650
388,578,0.036,15.686
389,578,0.038,15.724
390,578,0.033,15.757
391,578,0.029,15.786
392,578,0.030,15.816
393,578,0.035,15.851
394,578,0.040,15.891
395,578,0.031,15.922
396,578,0.032,15.954
397,578,0.054,16.008
398,578,0.044,16.052
399,578,0.033,16.085
400,578,0.031,16.116
401,578,0.030,16.146
402,578,0.027,16.173
403,578,0.031,16.204
404,578,0.035,16.239
405,578,0.036,16.275
406,578,0.034,16.309
407,578,0.039,16.348
408,578,0.034,16.382
409,578,0.044,16.426
410,578,0.031,16.457
411,578,0.032,16.489
412,578,0.029,16.518
413,578,0.029,16.547
414,578,0.031,16.578
415,578,0.035,16.613
416,578,0.034,16.647
417,578,0.024,16.671
418,578,0.034,16.705
419,578,0.038,16.743
420,578,0.032,16.775
421,578,0.036,16.811
422,578,0.039,16.850
423,578,0.031,16.881
424,578,0.044,16.925
425,578,0.032,16.957
426,578,0.037,16.994
427,578,0.033,17.027
428,578,0.035,17.062
429,578,0.047,17.109
430,578,0.035,17.144
431,578,0.039,17.183
432,578,0.036,17.219
433,578,0.032,17.251
434,578,0.028,17.279
435,578,0.033,17.312
436,578,0.031,17.343
437,578,0.035,17.378
438,578,0.029,17.407
439,578,0.026,17.433
440,578,0.039,17.472
441,578,0.039,17.511
442,578,0.033,17.544
443,578,0.035,17.579
444,578,0.030,17.609
445,578,0.029,17.638
446,578,0.030,17.668
447,578,0.029,17.697
448,578,0.033,17.730
449,578,0.037,17.767
450,578,0.029,17.796
451,578,0.038,17.834
452,595,0.029,17.863
453,595,0.033,17.896
454,595,0.033,17.929
455,595,0.036,17.965
456,595,0.038,18.003
457,595,0.027,18.030
458,595,0.030,18.060
459,595,0.031,18.091
460,595,0.100,18.191
461,595,0.037,18.228
462,595,0.042,18.270
463,595,0.032,18.302
464,595,0.033,18.335
465,595,0.041,18.376
466,595,0.030,18.406
467,595,0.041,18.447
468,595,0.042,18.489
469,595,0.040,18.529
470,595,0.033,18.562
471,595,0.043,18.605
472,595,0.044,18.649
473,595,0.035,18.684
474,595,0.032,18.716
475,595,0.027,18.743
476,595,0.034,18.777
477,595,0.034,18.811
478,595,0.033,18.844
479,595,0.035,18.879
480,595,0.030,18.909
481,596,0.029,18.938
482,596,0.033,18.971
483,596,0.038,19.009
484,596,0.025,19.034
485,596,0.038,19.072
486,596,0.035,19.107
487,596,0.038,19.145
488,596,0.032,19.177
489,596,0.044,19.221
490,596,0.036,19.257
491,596,0.030,19.287
492,596,0.036,19.323
493,596,0.038,19.361
494,596,0.032,19.393
495,596,0.026,19.419
496,596,0.027,19.446
497,596,0.037,19.483
498,596,0.030,19.513
