Generation,Best,Time,Total_Time
0,303,0.238,0.238
1,303,0.060,0.298
2,303,0.051,0.349
3,303,0.040,0.389
4,303,0.044,0.433
5,303,0.048,0.481
6,303,0.044,0.525
7,303,0.049,0.574
8,303,0.050,0.624
9,303,0.045,0.669
10,303,0.037,0.706
11,303,0.051,0.757
12,303,0.035,0.792
13,303,0.037,0.829
14,303,0.036,0.865
15,303,0.032,0.897
16,303,0.040,0.937
17,303,0.042,0.979
18,303,0.038,1.017
19,303,0.038,1.055
20,303,0.046,1.101
21,303,0.038,1.139
22,303,0.039,1.178
23,303,0.046,1.224
24,303,0.057,1.281
25,303,0.038,1.319
26,303,0.040,1.359
27,303,0.039,1.398
28,303,0.032,1.430
29,303,0.031,1.461
30,303,0.029,1.490
31,309,0.032,1.522
32,309,0.041,1.563
33,309,0.033,1.596
34,309,0.033,1.629
35,309,0.029,1.658
36,309,0.031,1.689
37,309,0.032,1.721
38,309,0.028,1.749
39,309,0.031,1.780
40,317,0.032,1.812
41,318,0.036,1.848
42,318,0.050,1.898
43,318,0.055,1.953
44,318,0.058,2.011
45,318,0.054,2.065
46,323,0.040,2.105
47,323,0.043,2.148
48,323,0.040,2.188
49,323,0.032,2.220
50,323,0.030,2.250
51,323,0.028,2.278
52,329,0.035,2.313
53,329,0.031,2.344
54,329,0.034,2.378
55,329,0.029,2.407
56,333,0.031,2.438
57,333,0.030,2.468
58,333,0.024,2.492
59,333,0.031,2.523
60,333,0.031,2.554
61,333,0.025,2.579
62,333,0.033,2.612
63,333,0.034,2.646
64,341,0.028,2.674
65,341,0.025,2.699
66,341,0.029,2.728
67,341,0.035,2.763
68,341,0.025,2.788
69,341,0.031,2.819
70,341,0.032,2.851
71,341,0.023,2.874
72,341,0.056,2.930
73,347,0.029,2.959
74,347,0.026,2.985
75,354,0.028,3.013
76,354,0.028,3.041
77,354,0.030,3.071
78,354,0.031,3.102
79,354,0.026,3.128
80,354,0.028,3.156
81,354,0.024,3.180
82,354,0.023,3.203
83,354,0.025,3.228
84,354,0.032,3.260
