Generation,Best,Time,Total_Time
0,419,0.570,0.570
1,419,0.440,1.010
2,439,0.489,1.499
3,449,0.533,2.032
4,449,0.460,2.492
5,449,0.469,2.961
6,449,0.479,3.440
7,449,0.386,3.826
8,455,0.427,4.253
9,455,0.422,4.675
10,460,0.388,5.063
11,463,0.357,5.420
12,463,0.369,5.789
13,463,0.374,6.163
14,464,0.355,6.518
15,477,0.428,6.946
16,477,0.359,7.305
17,477,0.347,7.652
18,477,0.388,8.040
19,477,0.459,8.499
20,477,0.387,8.886
21,477,0.371,9.257
22,477,0.403,9.660
23,477,0.377,10.037
24,489,0.344,10.381
25,489,0.427,10.808
26,489,0.537,11.345
27,489,0.391,11.736
28,489,0.378,12.114
29,489,0.356,12.470
30,489,0.362,12.832
31,489,0.368,13.200
32,489,0.352,13.552
33,489,0.356,13.908
34,491,0.378,14.286
35,491,0.385,14.671
36,491,0.376,15.047
37,491,0.369,15.416
38,491,0.370,15.786
39,491,0.363,16.149
40,491,0.385,16.534
41,491,0.418,16.952
42,491,0.390,17.342
43,491,0.533,17.875
44,491,0.349,18.224
45,491,0.360,18.584
46,491,0.418,19.002
47,491,0.383,19.385
48,491,0.369,19.754
49,491,0.350,20.104
50,491,0.348,20.452
51,491,0.377,20.829
52,491,0.354,21.183
53,494,0.346,21.529
54,494,0.470,21.999
55,494,0.389,22.388
56,494,0.392,22.780
57,494,0.398,23.178
58,494,0.342,23.520
59,494,0.393,23.913
60,494,0.344,24.257
61,494,0.356,24.613
62,494,0.380,24.993
63,494,0.342,25.335
64,494,0.483,25.818
65,494,0.364,26.182
66,494,0.455,26.637
67,494,0.385,27.022
68,494,0.359,27.381
69,494,0.355,27.736
70,494,0.354,28.090
71,494,0.384,28.474
72,494,0.384,28.858
73,494,0.391,29.249
74,494,0.369,29.618
75,494,0.378,29.996
76,494,0.415,30.411
77,494,0.416,30.827
78,494,0.432,31.259
79,494,0.392,31.651
80,494,0.377,32.028
81,494,0.375,32.403
82,494,0.355,32.758
83,494,0.372,33.130
84,494,0.401,33.531
85,494,0.363,33.894
86,494,0.383,34.277
87,494,0.364,34.641
88,494,0.361,35.002
89,494,0.355,35.357
90,494,0.350,35.707
91,494,0.414,36.121
92,494,0.397,36.518
93,494,0.501,37.019
94,494,0.585,37.604
95,494,0.368,37.972
96,494,0.409,38.381
97,495,0.377,38.758
98,495,0.380,39.138
99,495,0.362,39.500
100,495,0.353,39.853
101,495,0.383,40.236
102,495,0.356,40.592
103,495,0.391,40.983
104,495,0.389,41.372
105,495,0.375,41.747
106,495,0.384,42.131
107,495,0.366,42.497
108,495,0.380,42.877
109,495,0.392,43.269
110,495,0.378,43.647
111,495,0.383,44.030
112,495,0.404,44.434
113,495,0.360,44.794
114,495,0.441,45.235
115,495,0.600,45.835
116,495,0.451,46.286
117,495,0.398,46.684
118,499,0.379,47.063
119,499,0.378,47.441
120,499,0.385,47.826
121,499,0.409,48.235
122,499,0.378,48.613
123,499,0.381,48.994
124,499,0.395,49.389
