Maximum fit for each generation: 
Best fit for generation 0: 593
Best fit for generation 1: 593
Best fit for generation 2: 593
Best fit for generation 3: 593
Best fit for generation 4: 593
Best fit for generation 5: 593
Best fit for generation 6: 593
Best fit for generation 7: 593
Best fit for generation 8: 593
Best fit for generation 9: 593
Best fit for generation 10: 593
Best fit for generation 11: 593
Best fit for generation 12: 593
Best fit for generation 13: 593
Best fit for generation 14: 593
Best fit for generation 15: 593
Best fit for generation 16: 593
Best fit for generation 17: 593
Best fit for generation 18: 593
Best fit for generation 19: 593
Best fit for generation 20: 593
Best fit for generation 21: 593
Best fit for generation 22: 593
Best fit for generation 23: 593
Best fit for generation 24: 593
Best fit for generation 25: 593
Best fit for generation 26: 593
Best fit for generation 27: 593
Best fit for generation 28: 593
Best fit for generation 29: 593
Best fit for generation 30: 593
Best fit for generation 31: 593
Best fit for generation 32: 593
Best fit for generation 33: 593
Best fit for generation 34: 593
Best fit for generation 35: 593
Best fit for generation 36: 593
Best fit for generation 37: 593
Best fit for generation 38: 593
Best fit for generation 39: 593
Best fit for generation 40: 593
Best fit for generation 41: 593
Best fit for generation 42: 593
Best fit for generation 43: 593
Best fit for generation 44: 593
Best fit for generation 45: 593
Best fit for generation 46: 593
Best fit for generation 47: 593
Best fit for generation 48: 593
Best fit for generation 49: 593
Best fit for generation 50: 593
Best fit for generation 51: 593
Best fit for generation 52: 593
Best fit for generation 53: 593
Best fit for generation 54: 593
Best fit for generation 55: 593
Best fit for generation 56: 593
Best fit for generation 57: 593
Best fit for generation 58: 593
Best fit for generation 59: 593
Best fit for generation 60: 593
Best fit for generation 61: 593
Best fit for generation 62: 593
Best fit for generation 63: 593
Best fit for generation 64: 593
Best fit for generation 65: 593
Best fit for generation 66: 593
Best fit for generation 67: 593
Best fit for generation 68: 593
Best fit for generation 69: 593
Best fit for generation 70: 593
Best fit for generation 71: 593
Best fit for generation 72: 593
Best fit for generation 73: 593
Best fit for generation 74: 593
Best fit for generation 75: 593
Best fit for generation 76: 593
Best fit for generation 77: 593
Best fit for generation 78: 593
Best fit for generation 79: 593
Best fit for generation 80: 593
Best fit for generation 81: 593
Best fit for generation 82: 593
Best fit for generation 83: 593
Best fit for generation 84: 593
Best fit for generation 85: 593
Best fit for generation 86: 593
Best fit for generation 87: 593
Best fit for generation 88: 593
Best fit for generation 89: 593
Best fit for generation 90: 593
Best fit for generation 91: 593
Best fit for generation 92: 593
Best fit for generation 93: 593
Best fit for generation 94: 593
Best fit for generation 95: 593
Best fit for generation 96: 593
Best fit for generation 97: 593
Best fit for generation 98: 593
Best fit for generation 99: 593
Best fit for generation 100: 593
Best fit for generation 101: 593
Best fit for generation 102: 593
Best fit for generation 103: 593
Best fit for generation 104: 593
Best fit for generation 105: 593
Best fit for generation 106: 593
Best fit for generation 107: 593
Best fit for generation 108: 593
Best fit for generation 109: 593
Best fit for generation 110: 593
Best fit for generation 111: 593
Best fit for generation 112: 593
Best fit for generation 113: 593
Best fit for generation 114: 593
Best fit for generation 115: 593
Best fit for generation 116: 593
Best fit for generation 117: 593
Best fit for generation 118: 593
Best fit for generation 119: 593
Best fit for generation 120: 593
Best fit for generation 121: 593
Best fit for generation 122: 593
Best fit for generation 123: 593
Best fit for generation 124: 593
Best fit for generation 125: 593
Best fit for generation 126: 593
Best fit for generation 127: 593
Best fit for generation 128: 593
Best fit for generation 129: 593
Best fit for generation 130: 593
Best fit for generation 131: 593
Best fit for generation 132: 593
Best fit for generation 133: 593
Best fit for generation 134: 593
Best fit for generation 135: 593
Best fit for generation 136: 593
Best fit for generation 137: 593
Best fit for generation 138: 593
Best fit for generation 139: 593
Best fit for generation 140: 593
Best fit for generation 141: 593
Best fit for generation 142: 593
Best fit for generation 143: 593
Best fit for generation 144: 593
Best fit for generation 145: 593
Best fit for generation 146: 593
Best fit for generation 147: 593
Best fit for generation 148: 593
Best fit for generation 149: 593
Best fit for generation 150: 593
Best fit for generation 151: 593
Best fit for generation 152: 593
Best fit for generation 153: 593
Best fit for generation 154: 593
Best fit for generation 155: 593
Best fit for generation 156: 593
Best fit for generation 157: 593
Best fit for generation 158: 593
Best fit for generation 159: 593
Best fit for generation 160: 593
Best fit for generation 161: 593
Best fit for generation 162: 593
Best fit for generation 163: 593
Best fit for generation 164: 593
Best fit for generation 165: 593
Best fit for generation 166: 593
Best fit for generation 167: 593
Best fit for generation 168: 593
Best fit for generation 169: 593
Best fit for generation 170: 593
Best fit for generation 171: 593
Best fit for generation 172: 593
Best fit for generation 173: 593
Best fit for generation 174: 593
Best fit for generation 175: 593
Best fit for generation 176: 593
Best fit for generation 177: 593
Best fit for generation 178: 593
Best fit for generation 179: 593
Best fit for generation 180: 593
Best fit for generation 181: 593
Best fit for generation 182: 593
Best fit for generation 183: 593
Best fit for generation 184: 593
Best fit for generation 185: 593
Best fit for generation 186: 593
Best fit for generation 187: 593
Best fit for generation 188: 593
Best fit for generation 189: 593
Best fit for generation 190: 593
Best fit for generation 191: 593
Best fit for generation 192: 593
Best fit for generation 193: 593
Best fit for generation 194: 593
Best fit for generation 195: 593
Best fit for generation 196: 593
Best fit for generation 197: 593
Best fit for generation 198: 593
Best fit for generation 199: 593
Best fit for generation 200: 593
Best fit for generation 201: 593
Best fit for generation 202: 593
Best fit for generation 203: 593
Best fit for generation 204: 593
Best fit for generation 205: 593
Best fit for generation 206: 593
Best fit for generation 207: 593
Best fit for generation 208: 593
Best fit for generation 209: 593
Best fit for generation 210: 593
Best fit for generation 211: 593
Best fit for generation 212: 593
Best fit for generation 213: 593
Best fit for generation 214: 593
Best fit for generation 215: 593
Best fit for generation 216: 593
Best fit for generation 217: 593
Best fit for generation 218: 593
Best fit for generation 219: 593
Best fit for generation 220: 593
Best fit for generation 221: 593
Best fit for generation 222: 593
Best fit for generation 223: 593
Best fit for generation 224: 593
Best fit for generation 225: 593
Best fit for generation 226: 593
Best fit for generation 227: 593
Best fit for generation 228: 593
Best fit for generation 229: 593
Best fit for generation 230: 593
Best fit for generation 231: 593
Best fit for generation 232: 593
Best fit for generation 233: 593
Best fit for generation 234: 593
Best fit for generation 235: 593
Best fit for generation 236: 593
Best fit for generation 237: 593
Best fit for generation 238: 593
Best fit for generation 239: 593
Best fit for generation 240: 593
Best fit for generation 241: 593
Best fit for generation 242: 593
Best fit for generation 243: 593
Best fit for generation 244: 593
Best fit for generation 245: 593
Best fit for generation 246: 593
Best fit for generation 247: 593
Best fit for generation 248: 593
Best fit for generation 249: 593
Best fit for generation 250: 593
Best fit for generation 251: 593
Best fit for generation 252: 593
Best fit for generation 253: 593
Best fit for generation 254: 593
Best fit for generation 255: 593
Best fit for generation 256: 593
Best fit for generation 257: 593
Best fit for generation 258: 593
Best fit for generation 259: 593
Best fit for generation 260: 593
Best fit for generation 261: 593
Best fit for generation 262: 593
Best fit for generation 263: 593
Best fit for generation 264: 593
Best fit for generation 265: 593
Best fit for generation 266: 593
Best fit for generation 267: 593
Best fit for generation 268: 593
Best fit for generation 269: 593
Best fit for generation 270: 593
Best fit for generation 271: 593
Best fit for generation 272: 593
Best fit for generation 273: 593
Best fit for generation 274: 593
Best fit for generation 275: 593
Best fit for generation 276: 593
Best fit for generation 277: 593
Best fit for generation 278: 593
Best fit for generation 279: 593
Best fit for generation 280: 593
Best fit for generation 281: 593
Best fit for generation 282: 593
Best fit for generation 283: 593
Best fit for generation 284: 593
Best fit for generation 285: 593
Best fit for generation 286: 593
Best fit for generation 287: 593
Best fit for generation 288: 593
Best fit for generation 289: 593
Best fit for generation 290: 593
Best fit for generation 291: 593
Best fit for generation 292: 593
Best fit for generation 293: 593
Best fit for generation 294: 593
Best fit for generation 295: 593
Best fit for generation 296: 593
Best fit for generation 297: 593
Best fit for generation 298: 593
Best fit for generation 299: 593
Best fit for generation 300: 593
Best fit for generation 301: 593
Best fit for generation 302: 593
Best fit for generation 303: 593
Best fit for generation 304: 593
Best fit for generation 305: 593
Best fit for generation 306: 593
Best fit for generation 307: 593
Best fit for generation 308: 593
Best fit for generation 309: 593
Best fit for generation 310: 593
Best fit for generation 311: 593
Best fit for generation 312: 593
Best fit for generation 313: 593
Best fit for generation 314: 593
Best fit for generation 315: 593
Best fit for generation 316: 593
Best fit for generation 317: 593
Best fit for generation 318: 593
Best fit for generation 319: 593
Best fit for generation 320: 593
Best fit for generation 321: 593
Best fit for generation 322: 593
Best fit for generation 323: 593
Best fit for generation 324: 593
Best fit for generation 325: 593
Best fit for generation 326: 593
Best fit for generation 327: 593
Best fit for generation 328: 593
Best fit for generation 329: 593
Best fit for generation 330: 593
Best fit for generation 331: 593
Best fit for generation 332: 593
Best fit for generation 333: 593
Best fit for generation 334: 593
Best fit for generation 335: 593
Best fit for generation 336: 593
Best fit for generation 337: 593
Best fit for generation 338: 593
Best fit for generation 339: 593
Best fit for generation 340: 593
Best fit for generation 341: 593
Best fit for generation 342: 593
Best fit for generation 343: 593
Best fit for generation 344: 593
Best fit for generation 345: 593
