Maximum fit for each generation: 
Best fit for generation 0: 287
Best fit for generation 1: 287
Best fit for generation 2: 287
Best fit for generation 3: 287
Best fit for generation 4: 287
Best fit for generation 5: 287
Best fit for generation 6: 287
Best fit for generation 7: 287
Best fit for generation 8: 287
Best fit for generation 9: 287
Best fit for generation 10: 287
Best fit for generation 11: 287
Best fit for generation 12: 287
Best fit for generation 13: 287
Best fit for generation 14: 287
Best fit for generation 15: 287
Best fit for generation 16: 287
Best fit for generation 17: 287
Best fit for generation 18: 287
Best fit for generation 19: 287
Best fit for generation 20: 287
Best fit for generation 21: 287
Best fit for generation 22: 287
Best fit for generation 23: 287
Best fit for generation 24: 287
Best fit for generation 25: 287
Best fit for generation 26: 287
Best fit for generation 27: 287
Best fit for generation 28: 287
Best fit for generation 29: 287
Best fit for generation 30: 287
Best fit for generation 31: 287
Best fit for generation 32: 287
Best fit for generation 33: 287
Best fit for generation 34: 287
Best fit for generation 35: 287
Best fit for generation 36: 287
Best fit for generation 37: 287
Best fit for generation 38: 287
Best fit for generation 39: 287
Best fit for generation 40: 287
Best fit for generation 41: 287
Best fit for generation 42: 287
Best fit for generation 43: 287
Best fit for generation 44: 287
Best fit for generation 45: 287
Best fit for generation 46: 287
Best fit for generation 47: 287
Best fit for generation 48: 287
Best fit for generation 49: 287
Best fit for generation 50: 287
Best fit for generation 51: 287
Best fit for generation 52: 287
Best fit for generation 53: 287
Best fit for generation 54: 287
Best fit for generation 55: 287
Best fit for generation 56: 287
Best fit for generation 57: 287
Best fit for generation 58: 287
Best fit for generation 59: 287
Best fit for generation 60: 287
Best fit for generation 61: 287
Best fit for generation 62: 287
Best fit for generation 63: 287
Best fit for generation 64: 287
Best fit for generation 65: 287
Best fit for generation 66: 287
Best fit for generation 67: 287
Best fit for generation 68: 287
Best fit for generation 69: 287
Best fit for generation 70: 287
Best fit for generation 71: 287
Best fit for generation 72: 287
Best fit for generation 73: 287
Best fit for generation 74: 287
Best fit for generation 75: 287
Best fit for generation 76: 287
Best fit for generation 77: 287
Best fit for generation 78: 287
Best fit for generation 79: 287
Best fit for generation 80: 287
Best fit for generation 81: 287
Best fit for generation 82: 287
Best fit for generation 83: 287
Best fit for generation 84: 287
Best fit for generation 85: 287
Best fit for generation 86: 287
Best fit for generation 87: 287
Best fit for generation 88: 287
Best fit for generation 89: 287
Best fit for generation 90: 287
Best fit for generation 91: 287
Best fit for generation 92: 287
Best fit for generation 93: 287
Best fit for generation 94: 287
Best fit for generation 95: 287
Best fit for generation 96: 287
Best fit for generation 97: 287
Best fit for generation 98: 287
Best fit for generation 99: 287
Best fit for generation 100: 287
Best fit for generation 101: 287
Best fit for generation 102: 287
Best fit for generation 103: 287
Best fit for generation 104: 287
Best fit for generation 105: 287
Best fit for generation 106: 287
Best fit for generation 107: 287
Best fit for generation 108: 287
Best fit for generation 109: 287
Best fit for generation 110: 287
Best fit for generation 111: 287
Best fit for generation 112: 287
Best fit for generation 113: 287
Best fit for generation 114: 287
Best fit for generation 115: 287
Best fit for generation 116: 287
Best fit for generation 117: 287
Best fit for generation 118: 287
Best fit for generation 119: 287
Best fit for generation 120: 287
Best fit for generation 121: 287
Best fit for generation 122: 287
Best fit for generation 123: 287
Best fit for generation 124: 287
Best fit for generation 125: 287
Best fit for generation 126: 287
Best fit for generation 127: 287
Best fit for generation 128: 287
Best fit for generation 129: 287
Best fit for generation 130: 287
Best fit for generation 131: 287
Best fit for generation 132: 287
Best fit for generation 133: 287
Best fit for generation 134: 287
Best fit for generation 135: 287
Best fit for generation 136: 287
Best fit for generation 137: 287
Best fit for generation 138: 287
Best fit for generation 139: 287
Best fit for generation 140: 287
Best fit for generation 141: 287
Best fit for generation 142: 287
Best fit for generation 143: 287
Best fit for generation 144: 287
Best fit for generation 145: 287
Best fit for generation 146: 287
Best fit for generation 147: 287
Best fit for generation 148: 287
Best fit for generation 149: 287
Best fit for generation 150: 287
Best fit for generation 151: 287
Best fit for generation 152: 287
Best fit for generation 153: 287
Best fit for generation 154: 287
Best fit for generation 155: 287
Best fit for generation 156: 287
Best fit for generation 157: 287
Best fit for generation 158: 287
Best fit for generation 159: 287
Best fit for generation 160: 287
Best fit for generation 161: 287
