Maximum fit for each generation: 
Best fit for generation 0: 544
Best fit for generation 1: 544
Best fit for generation 2: 544
Best fit for generation 3: 544
Best fit for generation 4: 544
Best fit for generation 5: 544
Best fit for generation 6: 544
Best fit for generation 7: 544
Best fit for generation 8: 544
Best fit for generation 9: 544
Best fit for generation 10: 544
Best fit for generation 11: 544
Best fit for generation 12: 544
Best fit for generation 13: 544
Best fit for generation 14: 544
Best fit for generation 15: 544
Best fit for generation 16: 544
Best fit for generation 17: 544
Best fit for generation 18: 544
Best fit for generation 19: 544
Best fit for generation 20: 544
Best fit for generation 21: 544
Best fit for generation 22: 544
Best fit for generation 23: 549
Best fit for generation 24: 549
Best fit for generation 25: 549
Best fit for generation 26: 549
Best fit for generation 27: 549
Best fit for generation 28: 549
Best fit for generation 29: 549
Best fit for generation 30: 549
Best fit for generation 31: 549
Best fit for generation 32: 549
Best fit for generation 33: 549
Best fit for generation 34: 549
Best fit for generation 35: 549
Best fit for generation 36: 549
Best fit for generation 37: 549
Best fit for generation 38: 549
Best fit for generation 39: 549
Best fit for generation 40: 549
Best fit for generation 41: 549
Best fit for generation 42: 549
Best fit for generation 43: 549
Best fit for generation 44: 549
Best fit for generation 45: 549
Best fit for generation 46: 549
Best fit for generation 47: 549
Best fit for generation 48: 549
Best fit for generation 49: 549
Best fit for generation 50: 549
Best fit for generation 51: 549
Best fit for generation 52: 549
Best fit for generation 53: 549
Best fit for generation 54: 549
Best fit for generation 55: 549
Best fit for generation 56: 549
Best fit for generation 57: 549
Best fit for generation 58: 549
Best fit for generation 59: 549
Best fit for generation 60: 549
Best fit for generation 61: 549
Best fit for generation 62: 549
Best fit for generation 63: 549
Best fit for generation 64: 549
Best fit for generation 65: 549
Best fit for generation 66: 549
Best fit for generation 67: 549
Best fit for generation 68: 549
Best fit for generation 69: 549
Best fit for generation 70: 549
Best fit for generation 71: 599
Best fit for generation 72: 599
Best fit for generation 73: 599
Best fit for generation 74: 599
Best fit for generation 75: 599
Best fit for generation 76: 599
Best fit for generation 77: 599
Best fit for generation 78: 599
Best fit for generation 79: 599
Best fit for generation 80: 599
Best fit for generation 81: 599
Best fit for generation 82: 599
Best fit for generation 83: 599
Best fit for generation 84: 599
Best fit for generation 85: 599
Best fit for generation 86: 599
Best fit for generation 87: 599
Best fit for generation 88: 599
Best fit for generation 89: 599
Best fit for generation 90: 599
Best fit for generation 91: 599
Best fit for generation 92: 599
Best fit for generation 93: 599
Best fit for generation 94: 599
Best fit for generation 95: 599
Best fit for generation 96: 599
Best fit for generation 97: 599
Best fit for generation 98: 599
Best fit for generation 99: 599
Best fit for generation 100: 599
Best fit for generation 101: 599
Best fit for generation 102: 599
Best fit for generation 103: 599
Best fit for generation 104: 599
Best fit for generation 105: 599
Best fit for generation 106: 599
Best fit for generation 107: 599
Best fit for generation 108: 599
Best fit for generation 109: 599
Best fit for generation 110: 599
Best fit for generation 111: 599
Best fit for generation 112: 599
Best fit for generation 113: 599
Best fit for generation 114: 599
Best fit for generation 115: 599
Best fit for generation 116: 599
Best fit for generation 117: 599
Best fit for generation 118: 599
Best fit for generation 119: 599
Best fit for generation 120: 599
Best fit for generation 121: 599
Best fit for generation 122: 599
Best fit for generation 123: 599
Best fit for generation 124: 599
Best fit for generation 125: 599
Best fit for generation 126: 599
Best fit for generation 127: 599
Best fit for generation 128: 599
Best fit for generation 129: 599
Best fit for generation 130: 599
Best fit for generation 131: 599
Best fit for generation 132: 599
Best fit for generation 133: 599
Best fit for generation 134: 599
Best fit for generation 135: 599
Best fit for generation 136: 599
Best fit for generation 137: 599
Best fit for generation 138: 599
Best fit for generation 139: 599
Best fit for generation 140: 599
Best fit for generation 141: 599
Best fit for generation 142: 599
Best fit for generation 143: 599
Best fit for generation 144: 599
Best fit for generation 145: 599
Best fit for generation 146: 599
Best fit for generation 147: 599
Best fit for generation 148: 599
Best fit for generation 149: 599
Best fit for generation 150: 599
Best fit for generation 151: 599
Best fit for generation 152: 599
Best fit for generation 153: 599
Best fit for generation 154: 599
Best fit for generation 155: 599
Best fit for generation 156: 599
Best fit for generation 157: 599
Best fit for generation 158: 599
Best fit for generation 159: 599
Best fit for generation 160: 599
Best fit for generation 161: 599
Best fit for generation 162: 599
Best fit for generation 163: 599
Best fit for generation 164: 599
Best fit for generation 165: 599
Best fit for generation 166: 599
Best fit for generation 167: 599
Best fit for generation 168: 599
Best fit for generation 169: 599
Best fit for generation 170: 599
Best fit for generation 171: 599
Best fit for generation 172: 599
Best fit for generation 173: 599
Best fit for generation 174: 599
Best fit for generation 175: 599
Best fit for generation 176: 599
Best fit for generation 177: 599
Best fit for generation 178: 599
Best fit for generation 179: 599
Best fit for generation 180: 599
Best fit for generation 181: 599
Best fit for generation 182: 599
Best fit for generation 183: 599
Best fit for generation 184: 599
Best fit for generation 185: 599
Best fit for generation 186: 599
Best fit for generation 187: 599
Best fit for generation 188: 599
Best fit for generation 189: 599
Best fit for generation 190: 599
Best fit for generation 191: 599
Best fit for generation 192: 599
Best fit for generation 193: 599
Best fit for generation 194: 599
Best fit for generation 195: 599
Best fit for generation 196: 599
Best fit for generation 197: 599
Best fit for generation 198: 599
Best fit for generation 199: 599
Best fit for generation 200: 599
Best fit for generation 201: 599
Best fit for generation 202: 599
Best fit for generation 203: 599
Best fit for generation 204: 599
Best fit for generation 205: 599
Best fit for generation 206: 599
Best fit for generation 207: 599
Best fit for generation 208: 599
Best fit for generation 209: 599
Best fit for generation 210: 599
Best fit for generation 211: 599
Best fit for generation 212: 599
Best fit for generation 213: 599
Best fit for generation 214: 599
Best fit for generation 215: 599
Best fit for generation 216: 599
Best fit for generation 217: 599
Best fit for generation 218: 599
