Maximum fit for each generation: 
Best fit for generation 0: 592
Best fit for generation 1: 592
Best fit for generation 2: 592
Best fit for generation 3: 592
Best fit for generation 4: 592
Best fit for generation 5: 592
Best fit for generation 6: 592
Best fit for generation 7: 592
Best fit for generation 8: 592
Best fit for generation 9: 592
Best fit for generation 10: 592
Best fit for generation 11: 592
Best fit for generation 12: 592
Best fit for generation 13: 592
Best fit for generation 14: 592
Best fit for generation 15: 592
Best fit for generation 16: 592
Best fit for generation 17: 592
Best fit for generation 18: 592
Best fit for generation 19: 592
Best fit for generation 20: 592
Best fit for generation 21: 592
Best fit for generation 22: 592
Best fit for generation 23: 592
Best fit for generation 24: 592
Best fit for generation 25: 592
Best fit for generation 26: 592
Best fit for generation 27: 592
Best fit for generation 28: 592
Best fit for generation 29: 592
Best fit for generation 30: 592
Best fit for generation 31: 592
Best fit for generation 32: 592
Best fit for generation 33: 592
Best fit for generation 34: 592
Best fit for generation 35: 592
Best fit for generation 36: 592
Best fit for generation 37: 592
Best fit for generation 38: 592
Best fit for generation 39: 592
Best fit for generation 40: 592
Best fit for generation 41: 592
Best fit for generation 42: 592
Best fit for generation 43: 592
Best fit for generation 44: 592
Best fit for generation 45: 592
Best fit for generation 46: 592
Best fit for generation 47: 592
Best fit for generation 48: 592
Best fit for generation 49: 592
Best fit for generation 50: 592
Best fit for generation 51: 592
Best fit for generation 52: 592
Best fit for generation 53: 592
Best fit for generation 54: 592
Best fit for generation 55: 592
Best fit for generation 56: 592
Best fit for generation 57: 592
Best fit for generation 58: 592
Best fit for generation 59: 592
Best fit for generation 60: 592
Best fit for generation 61: 592
Best fit for generation 62: 592
Best fit for generation 63: 592
Best fit for generation 64: 592
Best fit for generation 65: 592
Best fit for generation 66: 592
Best fit for generation 67: 592
Best fit for generation 68: 592
Best fit for generation 69: 592
Best fit for generation 70: 592
Best fit for generation 71: 592
Best fit for generation 72: 592
Best fit for generation 73: 592
Best fit for generation 74: 592
Best fit for generation 75: 592
Best fit for generation 76: 592
Best fit for generation 77: 592
Best fit for generation 78: 592
Best fit for generation 79: 592
Best fit for generation 80: 592
Best fit for generation 81: 592
Best fit for generation 82: 592
Best fit for generation 83: 592
Best fit for generation 84: 592
Best fit for generation 85: 592
Best fit for generation 86: 592
Best fit for generation 87: 592
Best fit for generation 88: 592
Best fit for generation 89: 592
Best fit for generation 90: 592
Best fit for generation 91: 592
Best fit for generation 92: 592
Best fit for generation 93: 592
Best fit for generation 94: 592
Best fit for generation 95: 592
Best fit for generation 96: 592
Best fit for generation 97: 592
Best fit for generation 98: 592
Best fit for generation 99: 592
Best fit for generation 100: 592
Best fit for generation 101: 592
Best fit for generation 102: 592
Best fit for generation 103: 592
Best fit for generation 104: 592
Best fit for generation 105: 592
Best fit for generation 106: 592
Best fit for generation 107: 592
Best fit for generation 108: 592
Best fit for generation 109: 592
Best fit for generation 110: 592
Best fit for generation 111: 592
Best fit for generation 112: 592
Best fit for generation 113: 592
Best fit for generation 114: 592
Best fit for generation 115: 592
Best fit for generation 116: 592
Best fit for generation 117: 592
Best fit for generation 118: 592
Best fit for generation 119: 592
Best fit for generation 120: 592
Best fit for generation 121: 592
Best fit for generation 122: 592
Best fit for generation 123: 592
Best fit for generation 124: 592
Best fit for generation 125: 592
Best fit for generation 126: 592
Best fit for generation 127: 592
Best fit for generation 128: 592
Best fit for generation 129: 592
Best fit for generation 130: 592
Best fit for generation 131: 592
Best fit for generation 132: 592
Best fit for generation 133: 592
Best fit for generation 134: 592
Best fit for generation 135: 592
Best fit for generation 136: 592
Best fit for generation 137: 592
