Maximum fit for each generation: 
Best fit for generation 0: 292
Best fit for generation 1: 292
Best fit for generation 2: 292
Best fit for generation 3: 292
Best fit for generation 4: 292
Best fit for generation 5: 292
Best fit for generation 6: 292
Best fit for generation 7: 292
Best fit for generation 8: 292
Best fit for generation 9: 292
Best fit for generation 10: 292
Best fit for generation 11: 292
Best fit for generation 12: 292
Best fit for generation 13: 292
Best fit for generation 14: 292
Best fit for generation 15: 292
Best fit for generation 16: 292
Best fit for generation 17: 292
Best fit for generation 18: 292
Best fit for generation 19: 292
Best fit for generation 20: 292
Best fit for generation 21: 292
Best fit for generation 22: 292
Best fit for generation 23: 292
Best fit for generation 24: 292
Best fit for generation 25: 292
Best fit for generation 26: 292
Best fit for generation 27: 292
Best fit for generation 28: 292
Best fit for generation 29: 292
Best fit for generation 30: 292
Best fit for generation 31: 292
Best fit for generation 32: 292
Best fit for generation 33: 292
Best fit for generation 34: 292
Best fit for generation 35: 292
Best fit for generation 36: 292
Best fit for generation 37: 292
Best fit for generation 38: 292
Best fit for generation 39: 292
Best fit for generation 40: 292
Best fit for generation 41: 292
Best fit for generation 42: 292
Best fit for generation 43: 292
Best fit for generation 44: 292
Best fit for generation 45: 292
Best fit for generation 46: 292
Best fit for generation 47: 292
Best fit for generation 48: 292
Best fit for generation 49: 292
Best fit for generation 50: 292
Best fit for generation 51: 292
Best fit for generation 52: 292
Best fit for generation 53: 292
Best fit for generation 54: 292
Best fit for generation 55: 292
Best fit for generation 56: 292
Best fit for generation 57: 292
Best fit for generation 58: 292
Best fit for generation 59: 292
Best fit for generation 60: 292
Best fit for generation 61: 292
Best fit for generation 62: 292
Best fit for generation 63: 292
Best fit for generation 64: 292
Best fit for generation 65: 292
Best fit for generation 66: 292
Best fit for generation 67: 292
Best fit for generation 68: 292
Best fit for generation 69: 292
Best fit for generation 70: 292
Best fit for generation 71: 292
Best fit for generation 72: 292
Best fit for generation 73: 292
Best fit for generation 74: 292
Best fit for generation 75: 292
Best fit for generation 76: 292
Best fit for generation 77: 292
Best fit for generation 78: 292
Best fit for generation 79: 292
Best fit for generation 80: 292
Best fit for generation 81: 292
Best fit for generation 82: 292
Best fit for generation 83: 292
Best fit for generation 84: 292
Best fit for generation 85: 292
Best fit for generation 86: 292
Best fit for generation 87: 292
Best fit for generation 88: 292
Best fit for generation 89: 292
Best fit for generation 90: 292
Best fit for generation 91: 292
Best fit for generation 92: 292
Best fit for generation 93: 292
Best fit for generation 94: 292
Best fit for generation 95: 292
Best fit for generation 96: 292
