Generation,Best,Time,Total_Time
0,859,0.174,0.174
1,859,0.044,0.218
2,859,0.033,0.251
3,859,0.045,0.296
4,859,0.034,0.330
5,859,0.025,0.355
6,859,0.046,0.401
7,859,0.022,0.423
8,859,0.032,0.455
9,866,0.023,0.478
10,866,0.028,0.506
11,866,0.026,0.532
12,866,0.029,0.561
13,866,0.024,0.585
14,866,0.026,0.611
15,886,0.019,0.630
16,886,0.021,0.651
17,886,0.020,0.671
18,886,0.021,0.692
19,886,0.018,0.710
20,886,0.018,0.728
21,886,0.021,0.749
22,886,0.020,0.769
23,886,0.041,0.810
24,886,0.050,0.860
25,886,0.050,0.910
26,886,0.031,0.941
27,888,0.026,0.967
28,888,0.020,0.987
29,898,0.023,1.010
30,898,0.022,1.032
31,898,0.021,1.053
32,898,0.018,1.071
33,898,0.021,1.092
34,898,0.027,1.119
35,898,0.018,1.137
36,898,0.021,1.158
37,919,0.019,1.177
38,919,0.025,1.202
39,919,0.023,1.225
40,919,0.020,1.245
41,919,0.025,1.270
42,919,0.020,1.290
43,919,0.022,1.312
44,919,0.018,1.330
45,919,0.021,1.351
46,919,0.020,1.371
47,919,0.020,1.391
48,919,0.020,1.411
49,919,0.018,1.429
50,919,0.021,1.450
51,919,0.019,1.469
52,919,0.022,1.491
53,919,0.030,1.521
54,919,0.021,1.542
55,919,0.023,1.565
56,919,0.023,1.588
57,919,0.022,1.610
58,919,0.019,1.629
59,919,0.020,1.649
60,919,0.023,1.672
61,919,0.017,1.689
62,919,0.018,1.707
63,919,0.021,1.728
64,919,0.020,1.748
65,919,0.021,1.769
66,919,0.027,1.796
67,919,0.023,1.819
68,919,0.020,1.839
69,919,0.018,1.857
70,919,0.018,1.875
71,919,0.019,1.894
72,919,0.019,1.913
73,919,0.022,1.935
74,919,0.024,1.959
75,919,0.021,1.980
76,919,0.024,2.004
77,919,0.020,2.024
78,919,0.020,2.044
79,919,0.019,2.063
80,919,0.027,2.090
81,919,0.024,2.114
82,919,0.025,2.139
83,919,0.020,2.159
84,919,0.049,2.208
85,930,0.022,2.230
86,930,0.022,2.252
87,930,0.022,2.274
88,930,0.018,2.292
89,930,0.022,2.314
90,930,0.023,2.337
91,933,0.022,2.359
92,933,0.020,2.379
93,933,0.020,2.399
94,933,0.017,2.416
95,933,0.023,2.439
96,933,0.021,2.460
97,933,0.029,2.489
98,933,0.025,2.514
99,933,0.021,2.535
100,933,0.017,2.552
101,933,0.021,2.573
102,933,0.018,2.591
103,933,0.019,2.610
104,933,0.017,2.627
105,933,0.019,2.646
106,933,0.023,2.669
107,933,0.020,2.689
108,933,0.022,2.711
109,933,0.019,2.730
110,933,0.016,2.746
111,933,0.020,2.766
112,933,0.019,2.785
113,933,0.027,2.812
114,933,0.022,2.834
115,933,0.021,2.855
116,933,0.022,2.877
117,933,0.020,2.897
118,933,0.019,2.916
119,933,0.021,2.937
120,933,0.023,2.960
121,933,0.025,2.985
122,933,0.022,3.007
123,933,0.027,3.034
124,933,0.023,3.057
125,933,0.027,3.084
126,933,0.025,3.109
127,933,0.020,3.129
128,933,0.022,3.151
129,933,0.023,3.174
130,933,0.021,3.195
131,933,0.021,3.216
132,933,0.069,3.285
133,933,0.029,3.314
134,933,0.020,3.334
135,933,0.021,3.355
136,933,0.029,3.384
137,933,0.024,3.408
138,933,0.024,3.432
139,933,0.018,3.450
140,935,0.019,3.469
141,935,0.022,3.491
142,935,0.018,3.509
143,935,0.020,3.529
144,935,0.016,3.545
145,935,0.018,3.563
146,935,0.019,3.582
147,935,0.021,3.603
148,935,0.020,3.623
149,935,0.018,3.641
150,935,0.020,3.661
151,935,0.020,3.681
152,935,0.019,3.700
153,935,0.078,3.778
154,935,0.030,3.808
155,935,0.020,3.828
156,935,0.020,3.848
157,935,0.023,3.871
158,935,0.027,3.898
159,939,0.022,3.920
160,939,0.024,3.944
161,939,0.020,3.964
162,939,0.020,3.984
163,939,0.021,4.005
164,939,0.019,4.024
165,939,0.024,4.048
166,939,0.025,4.073
167,939,0.022,4.095
168,939,0.019,4.114
169,939,0.019,4.133
170,939,0.018,4.151
171,939,0.019,4.170
172,939,0.019,4.189
173,939,0.023,4.212
174,950,0.020,4.232
175,950,0.021,4.253
176,950,0.022,4.275
177,950,0.019,4.294
178,950,0.020,4.314
179,950,0.018,4.332
180,950,0.020,4.352
181,950,0.021,4.373
182,950,0.022,4.395
183,950,0.018,4.413
184,950,0.021,4.434
185,950,0.019,4.453
186,950,0.076,4.529
187,950,0.167,4.696
188,950,0.053,4.749
189,950,0.038,4.787
190,950,0.030,4.817
191,950,0.021,4.838
192,950,0.017,4.855
193,950,0.018,4.873
194,950,0.018,4.891
195,950,0.020,4.911
196,950,0.018,4.929
197,950,0.021,4.950
198,950,0.017,4.967
199,950,0.019,4.986
200,950,0.020,5.006
201,950,0.018,5.024
202,950,0.021,5.045
203,950,0.018,5.063
204,950,0.020,5.083
205,950,0.019,5.102
206,950,0.020,5.122
207,950,0.019,5.141
208,950,0.021,5.162
209,950,0.019,5.181
210,950,0.020,5.201
211,950,0.021,5.222
212,950,0.025,5.247
213,950,0.019,5.266
214,950,0.021,5.287
215,950,0.025,5.312
216,950,0.019,5.331
217,950,0.020,5.351
218,950,0.021,5.372
219,950,0.023,5.395
220,950,0.017,5.412
221,950,0.021,5.433
222,950,0.021,5.454
223,950,0.023,5.477
224,950,0.019,5.496
225,950,0.019,5.515
226,959,0.019,5.534
227,959,0.019,5.553
228,959,0.023,5.576
229,959,0.019,5.595
230,959,0.021,5.616
231,959,0.019,5.635
232,959,0.021,5.656
233,959,0.020,5.676
234,979,0.020,5.696
235,979,0.024,5.720
236,979,0.019,5.739
237,979,0.019,5.758
238,979,0.016,5.774
239,979,0.022,5.796
240,979,0.020,5.816
241,979,0.024,5.840
242,979,0.029,5.869
243,979,0.024,5.893
244,979,0.019,5.912
245,979,0.019,5.931
246,979,0.023,5.954
247,979,0.020,5.974
248,979,0.019,5.993
249,979,0.020,6.013
250,979,0.019,6.032
251,979,0.021,6.053
252,979,0.019,6.072
253,979,0.020,6.092
254,979,0.028,6.120
255,979,0.019,6.139
256,979,0.018,6.157
257,979,0.026,6.183
258,979,0.018,6.201
259,979,0.018,6.219
260,979,0.019,6.238
261,979,0.022,6.260
262,979,0.018,6.278
263,979,0.020,6.298
264,979,0.020,6.318
265,979,0.019,6.337
266,979,0.021,6.358
267,979,0.019,6.377
268,979,0.020,6.397
269,979,0.020,6.417
270,979,0.019,6.436
271,979,0.018,6.454
272,979,0.027,6.481
273,979,0.024,6.505
274,979,0.020,6.525
275,979,0.022,6.547
276,979,0.024,6.571
277,979,0.023,6.594
278,979,0.021,6.615
279,979,0.023,6.638
280,979,0.031,6.669
281,979,0.020,6.689
282,979,0.017,6.706
283,979,0.017,6.723
284,979,0.018,6.741
285,979,0.020,6.761
286,979,0.019,6.780
287,979,0.018,6.798
288,979,0.021,6.819
289,979,0.018,6.837
290,979,0.018,6.855
291,979,0.024,6.879
292,979,0.019,6.898
293,979,0.021,6.919
294,999,0.020,6.939
295,999,0.020,6.959
296,999,0.020,6.979
297,999,0.022,7.001
298,999,0.020,7.021
299,999,0.020,7.041
300,999,0.023,7.064
301,999,0.020,7.084
302,999,0.020,7.104
303,999,0.020,7.124
304,999,0.020,7.144
305,999,0.022,7.166
306,999,0.026,7.192
307,999,0.023,7.215
308,999,0.021,7.236
309,999,0.019,7.255
310,999,0.064,7.319
311,999,0.023,7.342
312,999,0.021,7.363
313,999,0.023,7.386
314,999,0.026,7.412
315,999,0.028,7.440
316,999,0.031,7.471
317,999,0.019,7.490
318,999,0.020,7.510
319,1003,0.020,7.530
320,1003,0.019,7.549
321,1003,0.020,7.569
322,1003,0.020,7.589
323,1003,0.017,7.606
324,1003,0.020,7.626
325,1003,0.021,7.647
326,1003,0.023,7.670
327,1003,0.018,7.688
328,1003,0.020,7.708
329,1003,0.019,7.727
330,1003,0.019,7.746
331,1003,0.020,7.766
332,1003,0.021,7.787
333,1008,0.019,7.806
334,1008,0.021,7.827
335,1008,0.024,7.851
336,1008,0.018,7.869
337,1008,0.031,7.900
338,1008,0.027,7.927
339,1008,0.019,7.946
340,1008,0.023,7.969
341,1008,0.021,7.990
342,1008,0.019,8.009
343,1008,0.022,8.031
344,1008,0.022,8.053
345,1008,0.019,8.072
346,1008,0.020,8.092
347,1008,0.022,8.114
348,1008,0.023,8.137
349,1008,0.023,8.160
350,1008,0.025,8.185
351,1008,0.018,8.203
352,1008,0.022,8.225
353,1008,0.020,8.245
354,1008,0.018,8.263
355,1008,0.019,8.282
356,1008,0.020,8.302
357,1008,0.022,8.324
358,1008,0.024,8.348
359,1008,0.020,8.368
360,1008,0.024,8.392
361,1008,0.018,8.410
362,1008,0.018,8.428
363,1008,0.018,8.446
364,1008,0.020,8.466
365,1008,0.017,8.483
366,1008,0.022,8.505
367,1008,0.020,8.525
368,1008,0.019,8.544
369,1008,0.019,8.563
370,1008,0.020,8.583
371,1008,0.019,8.602
372,1008,0.021,8.623
373,1008,0.020,8.643
374,1008,0.018,8.661
375,1008,0.022,8.683
376,1008,0.021,8.704
377,1008,0.017,8.721
378,1008,0.032,8.753
379,1008,0.028,8.781
380,1008,0.020,8.801
381,1008,0.020,8.821
382,1008,0.018,8.839
383,1008,0.018,8.857
384,1008,0.022,8.879
385,1008,0.018,8.897
386,1008,0.019,8.916
387,1008,0.018,8.934
388,1008,0.022,8.956
389,1008,0.019,8.975
390,1008,0.022,8.997
391,1008,0.021,9.018
392,1008,0.021,9.039
393,1008,0.019,9.058
394,1008,0.019,9.077
395,1008,0.020,9.097
396,1008,0.019,9.116
397,1008,0.019,9.135
398,1008,0.022,9.157
399,1008,0.022,9.179
400,1008,0.022,9.201
401,1008,0.018,9.219
402,1008,0.020,9.239
403,1008,0.018,9.257
404,1008,0.021,9.278
405,1008,0.020,9.298
406,1008,0.020,9.318
407,1008,0.021,9.339
408,1008,0.019,9.358
409,1008,0.019,9.377
410,1008,0.020,9.397
411,1008,0.021,9.418
412,1008,0.023,9.441
413,1008,0.020,9.461
414,1008,0.018,9.479
415,1008,0.020,9.499
416,1008,0.019,9.518
417,1008,0.024,9.542
418,1008,0.024,9.566
419,1008,0.020,9.586
420,1008,0.021,9.607
421,1008,0.018,9.625
422,1008,0.018,9.643
423,1008,0.021,9.664
424,1008,0.018,9.682
425,1008,0.019,9.701
426,1008,0.018,9.719
427,1008,0.021,9.740
428,1008,0.020,9.760
429,1008,0.020,9.780
430,1008,0.022,9.802
431,1008,0.019,9.821
432,1008,0.024,9.845
433,1008,0.022,9.867
434,1008,0.024,9.891
435,1008,0.023,9.914
436,1008,0.020,9.934
437,1008,0.027,9.961
438,1008,0.026,9.987
439,1008,0.026,10.013
440,1008,0.017,10.030
441,1008,0.021,10.051
442,1008,0.018,10.069
443,1008,0.018,10.087
444,1010,0.020,10.107
445,1010,0.023,10.130
446,1010,0.019,10.149
447,1010,0.019,10.168
448,1010,0.019,10.187
449,1010,0.020,10.207
450,1010,0.018,10.225
451,1010,0.017,10.242
452,1010,0.019,10.261
453,1010,0.019,10.280
454,1010,0.023,10.303
455,1010,0.016,10.319
456,1010,0.022,10.341
457,1010,0.020,10.361
458,1010,0.017,10.378
459,1010,0.019,10.397
460,1010,0.019,10.416
461,1010,0.021,10.437
462,1010,0.022,10.459
463,1010,0.026,10.485
464,1010,0.019,10.504
465,1010,0.021,10.525
466,1010,0.022,10.547
467,1010,0.021,10.568
468,1010,0.018,10.586
469,1010,0.021,10.607
470,1010,0.022,10.629
471,1010,0.018,10.647
472,1010,0.018,10.665
473,1010,0.022,10.687
474,1010,0.020,10.707
475,1010,0.018,10.725
476,1010,0.021,10.746
477,1010,0.019,10.765
478,1010,0.019,10.784
479,1010,0.023,10.807
480,1010,0.019,10.826
481,1010,0.021,10.847
482,1010,0.018,10.865
483,1010,0.021,10.886
484,1010,0.020,10.906
485,1010,0.020,10.926
486,1010,0.023,10.949
487,1010,0.021,10.970
488,1010,0.020,10.990
489,1010,0.020,11.010
490,1010,0.019,11.029
491,1010,0.019,11.048
492,1010,0.026,11.074
493,1010,0.021,11.095
494,1010,0.021,11.116
495,1010,0.018,11.134
496,1010,0.023,11.157
497,1010,0.019,11.176
498,1010,0.019,11.195
499,1010,0.022,11.217
500,1010,0.020,11.237
501,1010,0.019,11.256
502,1010,0.019,11.275
503,1010,0.026,11.301
504,1010,0.022,11.323
505,1010,0.021,11.344
506,1010,0.019,11.363
507,1010,0.019,11.382
508,1010,0.063,11.445
509,1010,0.023,11.468
510,1010,0.022,11.490
511,1010,0.023,11.513
512,1010,0.019,11.532
513,1010,0.018,11.550
514,1010,0.024,11.574
515,1010,0.021,11.595
516,1010,0.019,11.614
517,1010,0.020,11.634
518,1010,0.022,11.656
519,1010,0.026,11.682
520,1016,0.021,11.703
521,1016,0.018,11.721
522,1016,0.019,11.740
523,1016,0.017,11.757
524,1016,0.021,11.778
525,1016,0.021,11.799
526,1016,0.019,11.818
527,1016,0.020,11.838
528,1016,0.021,11.859
529,1016,0.020,11.879
530,1016,0.017,11.896
531,1016,0.019,11.915
532,1016,0.020,11.935
533,1016,0.018,11.953
534,1016,0.023,11.976
535,1016,0.021,11.997
536,1016,0.024,12.021
537,1016,0.021,12.042
538,1016,0.020,12.062
539,1016,0.023,12.085
540,1016,0.021,12.106
541,1016,0.019,12.125
542,1016,0.020,12.145
543,1016,0.019,12.164
544,1016,0.022,12.186
545,1016,0.025,12.211
546,1016,0.017,12.228
547,1016,0.022,12.250
548,1016,0.024,12.274
549,1016,0.018,12.292
550,1016,0.020,12.312
551,1016,0.023,12.335
552,1016,0.020,12.355
553,1016,0.018,12.373
554,1016,0.019,12.392
555,1016,0.020,12.412
556,1016,0.018,12.430
557,1016,0.021,12.451
558,1016,0.020,12.471
559,1016,0.019,12.490
560,1016,0.021,12.511
561,1016,0.019,12.530
562,1016,0.018,12.548
563,1016,0.061,12.609
564,1016,0.019,12.628
565,1016,0.020,12.648
566,1017,0.022,12.670
567,1017,0.019,12.689
568,1017,0.025,12.714
569,1017,0.023,12.737
570,1017,0.020,12.757
571,1017,0.026,12.783
572,1017,0.024,12.807
573,1017,0.023,12.830
574,1017,0.021,12.851
575,1017,0.019,12.870
576,1017,0.022,12.892
577,1017,0.017,12.909
578,1017,0.023,12.932
579,1017,0.018,12.950
580,1017,0.020,12.970
581,1017,0.020,12.990
582,1017,0.019,13.009
583,1017,0.021,13.030
584,1017,0.019,13.049
585,1017,0.024,13.073
586,1017,0.018,13.091
587,1017,0.022,13.113
588,1017,0.021,13.134
589,1017,0.018,13.152
590,1017,0.023,13.175
591,1017,0.021,13.196
592,1017,0.018,13.214
593,1017,0.019,13.233
594,1017,0.019,13.252
595,1017,0.020,13.272
596,1017,0.023,13.295
597,1017,0.022,13.317
598,1017,0.022,13.339
599,1017,0.028,13.367
600,1017,0.021,13.388
601,1017,0.027,13.415
602,1019,0.024,13.439
603,1019,0.029,13.468
604,1019,0.024,13.492
605,1019,0.018,13.510
606,1019,0.020,13.530
607,1019,0.024,13.554
608,1019,0.021,13.575
609,1019,0.018,13.593
610,1019,0.020,13.613
611,1019,0.022,13.635
612,1019,0.018,13.653
613,1019,0.016,13.669
614,1019,0.021,13.690
615,1019,0.020,13.710
616,1019,0.062,13.772
617,1019,0.025,13.797
618,1019,0.019,13.816
619,1019,0.019,13.835
620,1019,0.019,13.854
621,1019,0.020,13.874
622,1019,0.022,13.896
623,1019,0.019,13.915
624,1019,0.022,13.937
625,1019,0.021,13.958
626,1019,0.018,13.976
627,1019,0.020,13.996
628,1019,0.022,14.018
629,1019,0.018,14.036
630,1019,0.017,14.053
631,1019,0.020,14.073
632,1019,0.022,14.095
633,1019,0.023,14.118
634,1019,0.021,14.139
635,1019,0.021,14.160
636,1019,0.018,14.178
637,1039,0.019,14.197
638,1039,0.020,14.217
639,1039,0.019,14.236
640,1039,0.019,14.255
641,1039,0.022,14.277
642,1039,0.027,14.304
643,1039,0.021,14.325
644,1039,0.021,14.346
645,1039,0.020,14.366
646,1039,0.020,14.386
647,1039,0.019,14.405
648,1039,0.025,14.430
649,1039,0.021,14.451
650,1039,0.019,14.470
651,1039,0.019,14.489
652,1039,0.017,14.506
653,1039,0.026,14.532
654,1039,0.023,14.555
655,1039,0.021,14.576
656,1039,0.020,14.596
657,1039,0.019,14.615
658,1039,0.025,14.640
659,1039,0.022,14.662
660,1039,0.019,14.681
661,1039,0.023,14.704
662,1039,0.019,14.723
663,1039,0.018,14.741
664,1039,0.020,14.761
665,1039,0.021,14.782
666,1039,0.019,14.801
667,1039,0.021,14.822
668,1050,0.018,14.840
669,1050,0.027,14.867
670,1050,0.021,14.888
671,1050,0.028,14.916
672,1050,0.021,14.937
673,1050,0.021,14.958
674,1050,0.019,14.977
675,1050,0.020,14.997
676,1050,0.024,15.021
677,1050,0.018,15.039
678,1050,0.053,15.092
679,1050,0.020,15.112
680,1050,0.017,15.129
681,1050,0.022,15.151
682,1050,0.019,15.170
683,1050,0.020,15.190
684,1050,0.019,15.209
685,1050,0.020,15.229
686,1050,0.019,15.248
687,1050,0.024,15.272
688,1050,0.018,15.290
689,1050,0.020,15.310
690,1050,0.021,15.331
691,1050,0.024,15.355
692,1050,0.021,15.376
693,1050,0.019,15.395
694,1050,0.020,15.415
695,1050,0.022,15.437
696,1050,0.020,15.457
697,1050,0.020,15.477
698,1050,0.020,15.497
699,1050,0.025,15.522
700,1050,0.021,15.543
701,1050,0.020,15.563
702,1050,0.019,15.582
703,1050,0.023,15.605
704,1050,0.029,15.634
705,1050,0.027,15.661
706,1050,0.023,15.684
707,1050,0.020,15.704
708,1050,0.019,15.723
709,1050,0.018,15.741
710,1050,0.017,15.758
711,1050,0.018,15.776
712,1050,0.020,15.796
713,1050,0.021,15.817
714,1050,0.020,15.837
715,1050,0.019,15.856
716,1050,0.022,15.878
717,1050,0.020,15.898
718,1055,0.020,15.918
719,1055,0.019,15.937
720,1055,0.020,15.957
721,1055,0.024,15.981
722,1055,0.024,16.005
723,1055,0.026,16.031
724,1055,0.019,16.050
725,1055,0.019,16.069
726,1055,0.020,16.089
727,1055,0.019,16.108
728,1055,0.018,16.126
729,1055,0.019,16.145
730,1055,0.018,16.163
731,1055,0.020,16.183
732,1055,0.022,16.205
733,1055,0.025,16.230
734,1055,0.036,16.266
735,1055,0.029,16.295
736,1055,0.020,16.315
737,1055,0.018,16.333
738,1055,0.028,16.361
739,1055,0.025,16.386
740,1055,0.018,16.404
741,1055,0.020,16.424
742,1055,0.021,16.445
743,1055,0.018,16.463
744,1055,0.022,16.485
745,1055,0.022,16.507
746,1055,0.019,16.526
747,1055,0.019,16.545
748,1055,0.022,16.567
749,1055,0.022,16.589
750,1055,0.025,16.614
751,1055,0.018,16.632
752,1055,0.020,16.652
753,1055,0.019,16.671
754,1055,0.021,16.692
755,1055,0.024,16.716
756,1055,0.020,16.736
757,1055,0.018,16.754
758,1055,0.025,16.779
759,1055,0.021,16.800
760,1055,0.029,16.829
761,1055,0.025,16.854
762,1055,0.022,16.876
763,1055,0.022,16.898
764,1055,0.025,16.923
765,1055,0.023,16.946
