Maximum fit for each generation: 
Best fit for generation 0: 549
Best fit for generation 1: 549
Best fit for generation 2: 549
Best fit for generation 3: 549
Best fit for generation 4: 549
Best fit for generation 5: 549
Best fit for generation 6: 549
Best fit for generation 7: 549
Best fit for generation 8: 549
Best fit for generation 9: 549
Best fit for generation 10: 549
Best fit for generation 11: 549
Best fit for generation 12: 549
Best fit for generation 13: 549
Best fit for generation 14: 549
Best fit for generation 15: 549
Best fit for generation 16: 549
Best fit for generation 17: 549
Best fit for generation 18: 549
Best fit for generation 19: 549
Best fit for generation 20: 549
Best fit for generation 21: 549
Best fit for generation 22: 549
Best fit for generation 23: 549
Best fit for generation 24: 549
Best fit for generation 25: 549
Best fit for generation 26: 549
Best fit for generation 27: 549
Best fit for generation 28: 549
Best fit for generation 29: 549
Best fit for generation 30: 549
Best fit for generation 31: 549
Best fit for generation 32: 549
Best fit for generation 33: 549
Best fit for generation 34: 549
Best fit for generation 35: 549
Best fit for generation 36: 549
Best fit for generation 37: 549
Best fit for generation 38: 549
Best fit for generation 39: 549
Best fit for generation 40: 549
Best fit for generation 41: 549
Best fit for generation 42: 549
Best fit for generation 43: 549
Best fit for generation 44: 549
Best fit for generation 45: 549
Best fit for generation 46: 549
Best fit for generation 47: 549
Best fit for generation 48: 549
Best fit for generation 49: 549
Best fit for generation 50: 549
Best fit for generation 51: 549
Best fit for generation 52: 549
Best fit for generation 53: 549
Best fit for generation 54: 549
Best fit for generation 55: 549
Best fit for generation 56: 549
Best fit for generation 57: 549
Best fit for generation 58: 549
Best fit for generation 59: 549
Best fit for generation 60: 549
Best fit for generation 61: 549
Best fit for generation 62: 549
Best fit for generation 63: 549
Best fit for generation 64: 549
Best fit for generation 65: 549
Best fit for generation 66: 549
Best fit for generation 67: 549
Best fit for generation 68: 549
Best fit for generation 69: 549
Best fit for generation 70: 549
Best fit for generation 71: 549
Best fit for generation 72: 549
Best fit for generation 73: 587
Best fit for generation 74: 587
Best fit for generation 75: 596
Best fit for generation 76: 596
Best fit for generation 77: 596
Best fit for generation 78: 596
Best fit for generation 79: 596
Best fit for generation 80: 596
Best fit for generation 81: 596
Best fit for generation 82: 596
Best fit for generation 83: 596
Best fit for generation 84: 596
Best fit for generation 85: 596
Best fit for generation 86: 596
Best fit for generation 87: 596
Best fit for generation 88: 596
Best fit for generation 89: 596
Best fit for generation 90: 596
Best fit for generation 91: 596
Best fit for generation 92: 596
Best fit for generation 93: 596
Best fit for generation 94: 596
Best fit for generation 95: 596
Best fit for generation 96: 596
Best fit for generation 97: 596
Best fit for generation 98: 596
Best fit for generation 99: 596
Best fit for generation 100: 596
Best fit for generation 101: 596
Best fit for generation 102: 596
Best fit for generation 103: 596
Best fit for generation 104: 596
Best fit for generation 105: 596
Best fit for generation 106: 596
Best fit for generation 107: 596
Best fit for generation 108: 596
Best fit for generation 109: 596
Best fit for generation 110: 596
Best fit for generation 111: 596
Best fit for generation 112: 596
Best fit for generation 113: 596
Best fit for generation 114: 596
Best fit for generation 115: 596
Best fit for generation 116: 596
Best fit for generation 117: 596
Best fit for generation 118: 596
Best fit for generation 119: 596
Best fit for generation 120: 596
Best fit for generation 121: 596
Best fit for generation 122: 596
Best fit for generation 123: 596
Best fit for generation 124: 596
Best fit for generation 125: 596
Best fit for generation 126: 596
Best fit for generation 127: 596
Best fit for generation 128: 596
Best fit for generation 129: 596
Best fit for generation 130: 596
Best fit for generation 131: 596
Best fit for generation 132: 596
Best fit for generation 133: 596
Best fit for generation 134: 596
Best fit for generation 135: 596
Best fit for generation 136: 596
Best fit for generation 137: 596
Best fit for generation 138: 596
Best fit for generation 139: 596
Best fit for generation 140: 596
Best fit for generation 141: 596
Best fit for generation 142: 596
Best fit for generation 143: 596
Best fit for generation 144: 596
Best fit for generation 145: 596
Best fit for generation 146: 596
Best fit for generation 147: 596
Best fit for generation 148: 596
Best fit for generation 149: 596
Best fit for generation 150: 596
Best fit for generation 151: 596
Best fit for generation 152: 596
Best fit for generation 153: 596
Best fit for generation 154: 596
Best fit for generation 155: 596
Best fit for generation 156: 596
Best fit for generation 157: 596
Best fit for generation 158: 596
Best fit for generation 159: 596
Best fit for generation 160: 596
Best fit for generation 161: 596
Best fit for generation 162: 596
Best fit for generation 163: 596
Best fit for generation 164: 596
Best fit for generation 165: 596
Best fit for generation 166: 596
Best fit for generation 167: 596
Best fit for generation 168: 596
Best fit for generation 169: 596
Best fit for generation 170: 596
Best fit for generation 171: 596
Best fit for generation 172: 596
Best fit for generation 173: 596
Best fit for generation 174: 596
Best fit for generation 175: 596
Best fit for generation 176: 596
Best fit for generation 177: 596
Best fit for generation 178: 596
Best fit for generation 179: 596
Best fit for generation 180: 596
Best fit for generation 181: 596
Best fit for generation 182: 596
Best fit for generation 183: 596
Best fit for generation 184: 596
Best fit for generation 185: 596
Best fit for generation 186: 596
Best fit for generation 187: 596
Best fit for generation 188: 596
Best fit for generation 189: 596
Best fit for generation 190: 596
Best fit for generation 191: 596
Best fit for generation 192: 596
Best fit for generation 193: 596
Best fit for generation 194: 596
