Maximum fit for each generation: 
Best fit for generation 0: 173
Best fit for generation 1: 173
Best fit for generation 2: 173
Best fit for generation 3: 173
Best fit for generation 4: 173
Best fit for generation 5: 173
Best fit for generation 6: 173
Best fit for generation 7: 173
Best fit for generation 8: 173
Best fit for generation 9: 173
Best fit for generation 10: 173
Best fit for generation 11: 173
Best fit for generation 12: 173
Best fit for generation 13: 173
Best fit for generation 14: 173
Best fit for generation 15: 173
Best fit for generation 16: 173
Best fit for generation 17: 173
Best fit for generation 18: 173
Best fit for generation 19: 173
Best fit for generation 20: 173
Best fit for generation 21: 173
Best fit for generation 22: 173
Best fit for generation 23: 173
Best fit for generation 24: 173
Best fit for generation 25: 173
Best fit for generation 26: 173
Best fit for generation 27: 173
Best fit for generation 28: 173
Best fit for generation 29: 173
Best fit for generation 30: 173
Best fit for generation 31: 173
Best fit for generation 32: 173
Best fit for generation 33: 173
Best fit for generation 34: 173
Best fit for generation 35: 173
Best fit for generation 36: 173
Best fit for generation 37: 173
Best fit for generation 38: 173
Best fit for generation 39: 173
Best fit for generation 40: 173
Best fit for generation 41: 173
Best fit for generation 42: 173
Best fit for generation 43: 173
Best fit for generation 44: 173
Best fit for generation 45: 173
Best fit for generation 46: 173
Best fit for generation 47: 173
Best fit for generation 48: 173
Best fit for generation 49: 173
Best fit for generation 50: 173
Best fit for generation 51: 173
Best fit for generation 52: 173
Best fit for generation 53: 173
Best fit for generation 54: 173
Best fit for generation 55: 173
Best fit for generation 56: 173
Best fit for generation 57: 173
Best fit for generation 58: 173
Best fit for generation 59: 173
Best fit for generation 60: 173
Best fit for generation 61: 173
Best fit for generation 62: 173
Best fit for generation 63: 173
Best fit for generation 64: 173
Best fit for generation 65: 173
Best fit for generation 66: 173
Best fit for generation 67: 173
Best fit for generation 68: 173
Best fit for generation 69: 173
Best fit for generation 70: 173
Best fit for generation 71: 173
Best fit for generation 72: 173
Best fit for generation 73: 173
Best fit for generation 74: 173
Best fit for generation 75: 173
Best fit for generation 76: 173
Best fit for generation 77: 173
Best fit for generation 78: 173
Best fit for generation 79: 173
Best fit for generation 80: 173
Best fit for generation 81: 173
Best fit for generation 82: 173
Best fit for generation 83: 173
Best fit for generation 84: 173
Best fit for generation 85: 173
Best fit for generation 86: 173
Best fit for generation 87: 173
