Maximum fit for each generation: 
Best fit for generation 0: 300
Best fit for generation 1: 300
Best fit for generation 2: 300
Best fit for generation 3: 300
Best fit for generation 4: 300
Best fit for generation 5: 300
Best fit for generation 6: 300
Best fit for generation 7: 300
Best fit for generation 8: 300
Best fit for generation 9: 300
Best fit for generation 10: 300
Best fit for generation 11: 300
Best fit for generation 12: 300
Best fit for generation 13: 300
Best fit for generation 14: 300
Best fit for generation 15: 300
Best fit for generation 16: 300
Best fit for generation 17: 300
Best fit for generation 18: 300
Best fit for generation 19: 300
Best fit for generation 20: 300
Best fit for generation 21: 300
Best fit for generation 22: 300
Best fit for generation 23: 300
Best fit for generation 24: 300
Best fit for generation 25: 300
Best fit for generation 26: 300
Best fit for generation 27: 300
Best fit for generation 28: 300
Best fit for generation 29: 300
Best fit for generation 30: 300
Best fit for generation 31: 300
Best fit for generation 32: 300
Best fit for generation 33: 300
Best fit for generation 34: 300
Best fit for generation 35: 300
Best fit for generation 36: 300
Best fit for generation 37: 300
Best fit for generation 38: 300
Best fit for generation 39: 300
Best fit for generation 40: 300
Best fit for generation 41: 300
Best fit for generation 42: 300
Best fit for generation 43: 300
Best fit for generation 44: 300
Best fit for generation 45: 300
Best fit for generation 46: 300
Best fit for generation 47: 300
Best fit for generation 48: 300
Best fit for generation 49: 300
Best fit for generation 50: 300
Best fit for generation 51: 300
Best fit for generation 52: 300
Best fit for generation 53: 300
Best fit for generation 54: 300
Best fit for generation 55: 300
Best fit for generation 56: 300
Best fit for generation 57: 300
Best fit for generation 58: 300
Best fit for generation 59: 300
Best fit for generation 60: 300
Best fit for generation 61: 300
Best fit for generation 62: 300
Best fit for generation 63: 300
Best fit for generation 64: 300
Best fit for generation 65: 300
Best fit for generation 66: 300
Best fit for generation 67: 300
Best fit for generation 68: 300
Best fit for generation 69: 300
Best fit for generation 70: 300
Best fit for generation 71: 300
Best fit for generation 72: 300
Best fit for generation 73: 300
Best fit for generation 74: 300
Best fit for generation 75: 300
Best fit for generation 76: 300
Best fit for generation 77: 300
Best fit for generation 78: 300
Best fit for generation 79: 300
Best fit for generation 80: 300
Best fit for generation 81: 300
Best fit for generation 82: 300
Best fit for generation 83: 300
Best fit for generation 84: 300
Best fit for generation 85: 300
Best fit for generation 86: 300
Best fit for generation 87: 300
Best fit for generation 88: 300
Best fit for generation 89: 300
Best fit for generation 90: 300
