Maximum fit for each generation: 
Best fit for generation 0: 380
Best fit for generation 1: 380
Best fit for generation 2: 380
Best fit for generation 3: 380
Best fit for generation 4: 380
Best fit for generation 5: 380
Best fit for generation 6: 380
Best fit for generation 7: 380
Best fit for generation 8: 380
Best fit for generation 9: 380
Best fit for generation 10: 401
Best fit for generation 11: 401
Best fit for generation 12: 401
Best fit for generation 13: 401
Best fit for generation 14: 401
Best fit for generation 15: 401
Best fit for generation 16: 401
Best fit for generation 17: 401
Best fit for generation 18: 401
Best fit for generation 19: 401
Best fit for generation 20: 401
Best fit for generation 21: 401
Best fit for generation 22: 401
Best fit for generation 23: 401
Best fit for generation 24: 401
Best fit for generation 25: 401
Best fit for generation 26: 401
Best fit for generation 27: 401
Best fit for generation 28: 401
Best fit for generation 29: 401
Best fit for generation 30: 401
Best fit for generation 31: 401
Best fit for generation 32: 401
Best fit for generation 33: 401
Best fit for generation 34: 401
Best fit for generation 35: 401
Best fit for generation 36: 401
Best fit for generation 37: 401
Best fit for generation 38: 401
Best fit for generation 39: 401
Best fit for generation 40: 401
Best fit for generation 41: 401
Best fit for generation 42: 401
Best fit for generation 43: 401
Best fit for generation 44: 401
Best fit for generation 45: 404
Best fit for generation 46: 404
Best fit for generation 47: 404
Best fit for generation 48: 404
Best fit for generation 49: 404
Best fit for generation 50: 404
Best fit for generation 51: 404
Best fit for generation 52: 404
Best fit for generation 53: 404
Best fit for generation 54: 404
Best fit for generation 55: 404
Best fit for generation 56: 404
Best fit for generation 57: 404
Best fit for generation 58: 404
Best fit for generation 59: 404
Best fit for generation 60: 404
Best fit for generation 61: 404
Best fit for generation 62: 404
Best fit for generation 63: 404
Best fit for generation 64: 404
Best fit for generation 65: 404
Best fit for generation 66: 404
Best fit for generation 67: 404
Best fit for generation 68: 404
Best fit for generation 69: 404
Best fit for generation 70: 404
Best fit for generation 71: 404
Best fit for generation 72: 404
Best fit for generation 73: 404
Best fit for generation 74: 404
Best fit for generation 75: 404
Best fit for generation 76: 404
Best fit for generation 77: 404
Best fit for generation 78: 404
Best fit for generation 79: 404
Best fit for generation 80: 404
Best fit for generation 81: 404
Best fit for generation 82: 404
Best fit for generation 83: 404
Best fit for generation 84: 404
Best fit for generation 85: 404
Best fit for generation 86: 404
Best fit for generation 87: 404
Best fit for generation 88: 404
Best fit for generation 89: 404
Best fit for generation 90: 404
Best fit for generation 91: 404
Best fit for generation 92: 404
Best fit for generation 93: 404
Best fit for generation 94: 404
Best fit for generation 95: 404
Best fit for generation 96: 404
Best fit for generation 97: 404
Best fit for generation 98: 404
Best fit for generation 99: 404
Best fit for generation 100: 404
Best fit for generation 101: 404
Best fit for generation 102: 404
Best fit for generation 103: 404
Best fit for generation 104: 404
Best fit for generation 105: 404
Best fit for generation 106: 404
Best fit for generation 107: 404
Best fit for generation 108: 404
Best fit for generation 109: 404
Best fit for generation 110: 404
Best fit for generation 111: 404
