Maximum fit for each generation: 
Best fit for generation 0: 632
Best fit for generation 1: 632
Best fit for generation 2: 632
Best fit for generation 3: 632
Best fit for generation 4: 632
Best fit for generation 5: 632
Best fit for generation 6: 632
Best fit for generation 7: 632
Best fit for generation 8: 632
Best fit for generation 9: 632
Best fit for generation 10: 632
Best fit for generation 11: 632
Best fit for generation 12: 632
Best fit for generation 13: 632
Best fit for generation 14: 632
Best fit for generation 15: 632
Best fit for generation 16: 632
Best fit for generation 17: 632
Best fit for generation 18: 632
Best fit for generation 19: 632
Best fit for generation 20: 632
Best fit for generation 21: 632
Best fit for generation 22: 632
Best fit for generation 23: 632
Best fit for generation 24: 632
Best fit for generation 25: 632
Best fit for generation 26: 632
Best fit for generation 27: 632
Best fit for generation 28: 632
Best fit for generation 29: 632
Best fit for generation 30: 632
Best fit for generation 31: 632
Best fit for generation 32: 632
Best fit for generation 33: 632
Best fit for generation 34: 632
Best fit for generation 35: 632
Best fit for generation 36: 632
Best fit for generation 37: 632
Best fit for generation 38: 632
Best fit for generation 39: 632
Best fit for generation 40: 632
Best fit for generation 41: 632
Best fit for generation 42: 632
Best fit for generation 43: 632
Best fit for generation 44: 632
Best fit for generation 45: 632
Best fit for generation 46: 632
Best fit for generation 47: 632
Best fit for generation 48: 632
Best fit for generation 49: 632
Best fit for generation 50: 632
Best fit for generation 51: 632
Best fit for generation 52: 632
Best fit for generation 53: 632
Best fit for generation 54: 632
Best fit for generation 55: 632
Best fit for generation 56: 632
Best fit for generation 57: 632
Best fit for generation 58: 632
Best fit for generation 59: 632
Best fit for generation 60: 632
Best fit for generation 61: 632
Best fit for generation 62: 632
Best fit for generation 63: 632
Best fit for generation 64: 632
Best fit for generation 65: 632
Best fit for generation 66: 632
Best fit for generation 67: 632
Best fit for generation 68: 632
Best fit for generation 69: 632
Best fit for generation 70: 632
Best fit for generation 71: 632
Best fit for generation 72: 632
Best fit for generation 73: 632
Best fit for generation 74: 632
Best fit for generation 75: 632
Best fit for generation 76: 632
Best fit for generation 77: 632
Best fit for generation 78: 632
Best fit for generation 79: 632
Best fit for generation 80: 632
Best fit for generation 81: 632
Best fit for generation 82: 632
Best fit for generation 83: 632
Best fit for generation 84: 632
Best fit for generation 85: 632
Best fit for generation 86: 632
Best fit for generation 87: 632
Best fit for generation 88: 632
Best fit for generation 89: 632
Best fit for generation 90: 632
Best fit for generation 91: 632
Best fit for generation 92: 632
Best fit for generation 93: 632
Best fit for generation 94: 632
Best fit for generation 95: 632
Best fit for generation 96: 632
Best fit for generation 97: 632
Best fit for generation 98: 632
Best fit for generation 99: 632
Best fit for generation 100: 632
Best fit for generation 101: 632
Best fit for generation 102: 632
Best fit for generation 103: 632
Best fit for generation 104: 632
Best fit for generation 105: 632
Best fit for generation 106: 632
Best fit for generation 107: 632
Best fit for generation 108: 632
Best fit for generation 109: 632
Best fit for generation 110: 632
Best fit for generation 111: 632
Best fit for generation 112: 632
Best fit for generation 113: 632
Best fit for generation 114: 632
Best fit for generation 115: 632
Best fit for generation 116: 632
Best fit for generation 117: 632
Best fit for generation 118: 632
Best fit for generation 119: 632
Best fit for generation 120: 632
Best fit for generation 121: 632
Best fit for generation 122: 632
Best fit for generation 123: 632
Best fit for generation 124: 632
Best fit for generation 125: 632
Best fit for generation 126: 632
Best fit for generation 127: 632
Best fit for generation 128: 632
Best fit for generation 129: 632
Best fit for generation 130: 632
Best fit for generation 131: 632
Best fit for generation 132: 632
Best fit for generation 133: 632
Best fit for generation 134: 632
Best fit for generation 135: 632
Best fit for generation 136: 632
Best fit for generation 137: 632
Best fit for generation 138: 632
Best fit for generation 139: 632
Best fit for generation 140: 632
Best fit for generation 141: 632
Best fit for generation 142: 632
Best fit for generation 143: 632
Best fit for generation 144: 632
Best fit for generation 145: 632
Best fit for generation 146: 632
Best fit for generation 147: 632
Best fit for generation 148: 632
Best fit for generation 149: 632
Best fit for generation 150: 632
Best fit for generation 151: 632
Best fit for generation 152: 632
Best fit for generation 153: 632
Best fit for generation 154: 632
Best fit for generation 155: 632
Best fit for generation 156: 632
Best fit for generation 157: 632
Best fit for generation 158: 632
Best fit for generation 159: 632
Best fit for generation 160: 632
Best fit for generation 161: 632
Best fit for generation 162: 632
Best fit for generation 163: 632
Best fit for generation 164: 632
Best fit for generation 165: 632
Best fit for generation 166: 632
Best fit for generation 167: 632
Best fit for generation 168: 632
Best fit for generation 169: 632
Best fit for generation 170: 632
Best fit for generation 171: 632
Best fit for generation 172: 632
Best fit for generation 173: 632
Best fit for generation 174: 632
Best fit for generation 175: 632
Best fit for generation 176: 632
Best fit for generation 177: 632
Best fit for generation 178: 632
Best fit for generation 179: 632
Best fit for generation 180: 632
Best fit for generation 181: 632
Best fit for generation 182: 632
Best fit for generation 183: 632
Best fit for generation 184: 632
Best fit for generation 185: 632
Best fit for generation 186: 632
Best fit for generation 187: 632
Best fit for generation 188: 632
Best fit for generation 189: 632
Best fit for generation 190: 632
Best fit for generation 191: 632
Best fit for generation 192: 632
Best fit for generation 193: 632
Best fit for generation 194: 632
Best fit for generation 195: 632
Best fit for generation 196: 632
Best fit for generation 197: 632
Best fit for generation 198: 632
