Maximum fit for each generation: 
Best fit for generation 245: 426
Best fit for generation 246: 426
Best fit for generation 247: 426
Best fit for generation 248: 426
Best fit for generation 249: 426
Best fit for generation 250: 426
Best fit for generation 251: 426
Best fit for generation 252: 426
Best fit for generation 253: 426
Best fit for generation 254: 426
Best fit for generation 255: 426
Best fit for generation 256: 426
Best fit for generation 257: 426
Best fit for generation 258: 426
Best fit for generation 259: 426
Best fit for generation 260: 426
Best fit for generation 261: 426
Best fit for generation 262: 426
Best fit for generation 263: 426
Best fit for generation 264: 426
Best fit for generation 265: 426
Best fit for generation 266: 426
Best fit for generation 267: 426
Best fit for generation 268: 426
Best fit for generation 269: 426
Best fit for generation 270: 426
Best fit for generation 271: 426
Best fit for generation 272: 426
Best fit for generation 273: 426
Best fit for generation 274: 426
Best fit for generation 275: 426
Best fit for generation 276: 426
Best fit for generation 277: 426
Best fit for generation 278: 426
Best fit for generation 279: 426
Best fit for generation 280: 426
Best fit for generation 281: 426
Best fit for generation 282: 426
Best fit for generation 283: 426
Best fit for generation 284: 426
Best fit for generation 285: 426
Best fit for generation 286: 426
Best fit for generation 287: 426
Best fit for generation 288: 426
Best fit for generation 289: 426
Best fit for generation 290: 426
Best fit for generation 291: 426
Best fit for generation 292: 426
Best fit for generation 293: 426
Best fit for generation 294: 426
Best fit for generation 295: 426
Best fit for generation 296: 426
Best fit for generation 297: 426
Best fit for generation 298: 426
Best fit for generation 299: 426
Best fit for generation 300: 426
Best fit for generation 301: 426
Best fit for generation 302: 426
Best fit for generation 303: 426
Best fit for generation 304: 426
Best fit for generation 305: 426
Best fit for generation 306: 426
Best fit for generation 307: 426
Best fit for generation 308: 426
Best fit for generation 309: 426
Best fit for generation 310: 426
Best fit for generation 311: 426
Best fit for generation 312: 426
Best fit for generation 313: 426
Best fit for generation 314: 426
Best fit for generation 315: 426
Best fit for generation 316: 426
Best fit for generation 317: 426
Best fit for generation 318: 426
Best fit for generation 319: 426
Best fit for generation 320: 426
Best fit for generation 321: 426
Best fit for generation 322: 426
Best fit for generation 323: 426
Best fit for generation 324: 426
Best fit for generation 325: 426
Best fit for generation 326: 426
Best fit for generation 327: 426
Best fit for generation 328: 426
Best fit for generation 329: 426
Best fit for generation 330: 426
Best fit for generation 331: 426
Best fit for generation 332: 426
Best fit for generation 333: 426
Best fit for generation 334: 426
Best fit for generation 335: 426
Best fit for generation 336: 426
Best fit for generation 337: 426
Best fit for generation 338: 426
Best fit for generation 339: 426
Best fit for generation 340: 426
Best fit for generation 341: 426
Best fit for generation 342: 426
Best fit for generation 343: 426
Best fit for generation 344: 426
Best fit for generation 345: 426
