Maximum fit for each generation: 
Best fit for generation 0: 176
Best fit for generation 1: 176
Best fit for generation 2: 176
Best fit for generation 3: 176
Best fit for generation 4: 176
Best fit for generation 5: 176
Best fit for generation 6: 176
Best fit for generation 7: 176
Best fit for generation 8: 176
Best fit for generation 9: 176
Best fit for generation 10: 176
Best fit for generation 11: 176
Best fit for generation 12: 176
Best fit for generation 13: 176
Best fit for generation 14: 176
Best fit for generation 15: 176
Best fit for generation 16: 176
Best fit for generation 17: 176
Best fit for generation 18: 176
Best fit for generation 19: 176
Best fit for generation 20: 176
Best fit for generation 21: 176
Best fit for generation 22: 176
Best fit for generation 23: 176
Best fit for generation 24: 176
Best fit for generation 25: 176
Best fit for generation 26: 176
Best fit for generation 27: 176
Best fit for generation 28: 176
Best fit for generation 29: 176
Best fit for generation 30: 176
Best fit for generation 31: 176
Best fit for generation 32: 176
Best fit for generation 33: 176
Best fit for generation 34: 176
Best fit for generation 35: 176
Best fit for generation 36: 176
Best fit for generation 37: 176
Best fit for generation 38: 176
Best fit for generation 39: 176
Best fit for generation 40: 176
Best fit for generation 41: 176
Best fit for generation 42: 176
Best fit for generation 43: 176
Best fit for generation 44: 176
Best fit for generation 45: 176
Best fit for generation 46: 176
Best fit for generation 47: 176
Best fit for generation 48: 176
Best fit for generation 49: 176
Best fit for generation 50: 176
Best fit for generation 51: 176
Best fit for generation 52: 176
Best fit for generation 53: 176
Best fit for generation 54: 176
Best fit for generation 55: 176
Best fit for generation 56: 176
Best fit for generation 57: 176
Best fit for generation 58: 176
Best fit for generation 59: 176
Best fit for generation 60: 176
Best fit for generation 61: 176
Best fit for generation 62: 176
Best fit for generation 63: 176
Best fit for generation 64: 176
Best fit for generation 65: 176
Best fit for generation 66: 176
Best fit for generation 67: 176
Best fit for generation 68: 176
Best fit for generation 69: 176
Best fit for generation 70: 176
Best fit for generation 71: 176
Best fit for generation 72: 176
Best fit for generation 73: 176
Best fit for generation 74: 176
Best fit for generation 75: 176
Best fit for generation 76: 176
Best fit for generation 77: 176
Best fit for generation 78: 176
Best fit for generation 79: 176
Best fit for generation 80: 176
Best fit for generation 81: 176
Best fit for generation 82: 176
Best fit for generation 83: 176
Best fit for generation 84: 176
Best fit for generation 85: 176
Best fit for generation 86: 176
Best fit for generation 87: 176
Best fit for generation 88: 176
Best fit for generation 89: 176
Best fit for generation 90: 176
Best fit for generation 91: 176
Best fit for generation 92: 176
Best fit for generation 93: 176
Best fit for generation 94: 176
Best fit for generation 95: 176
Best fit for generation 96: 176
Best fit for generation 97: 176
Best fit for generation 98: 176
Best fit for generation 99: 176
Best fit for generation 100: 176
Best fit for generation 101: 176
Best fit for generation 102: 176
Best fit for generation 103: 176
Best fit for generation 104: 176
Best fit for generation 105: 176
Best fit for generation 106: 176
Best fit for generation 107: 176
Best fit for generation 108: 176
Best fit for generation 109: 176
Best fit for generation 110: 176
Best fit for generation 111: 176
Best fit for generation 112: 176
Best fit for generation 113: 176
Best fit for generation 114: 176
Best fit for generation 115: 176
Best fit for generation 116: 176
Best fit for generation 117: 176
Best fit for generation 118: 176
Best fit for generation 119: 176
Best fit for generation 120: 176
Best fit for generation 121: 176
Best fit for generation 122: 176
Best fit for generation 123: 176
Best fit for generation 124: 176
Best fit for generation 125: 176
Best fit for generation 126: 176
Best fit for generation 127: 176
Best fit for generation 128: 176
Best fit for generation 129: 176
Best fit for generation 130: 176
Best fit for generation 131: 176
Best fit for generation 132: 176
Best fit for generation 133: 176
Best fit for generation 134: 176
Best fit for generation 135: 176
Best fit for generation 136: 176
Best fit for generation 137: 176
Best fit for generation 138: 176
Best fit for generation 139: 176
Best fit for generation 140: 176
Best fit for generation 141: 176
Best fit for generation 142: 176
Best fit for generation 143: 176
Best fit for generation 144: 176
Best fit for generation 145: 176
Best fit for generation 146: 176
Best fit for generation 147: 176
Best fit for generation 148: 176
Best fit for generation 149: 176
Best fit for generation 150: 176
Best fit for generation 151: 176
Best fit for generation 152: 176
Best fit for generation 153: 176
Best fit for generation 154: 176
Best fit for generation 155: 176
Best fit for generation 156: 176
Best fit for generation 157: 176
Best fit for generation 158: 176
Best fit for generation 159: 176
Best fit for generation 160: 176
Best fit for generation 161: 176
Best fit for generation 162: 176
Best fit for generation 163: 176
Best fit for generation 164: 176
Best fit for generation 165: 176
Best fit for generation 166: 176
Best fit for generation 167: 176
Best fit for generation 168: 176
Best fit for generation 169: 176
Best fit for generation 170: 176
Best fit for generation 171: 176
Best fit for generation 172: 176
Best fit for generation 173: 176
Best fit for generation 174: 176
Best fit for generation 175: 176
Best fit for generation 176: 176
Best fit for generation 177: 176
Best fit for generation 178: 176
Best fit for generation 179: 176
Best fit for generation 180: 176
Best fit for generation 181: 176
Best fit for generation 182: 176
Best fit for generation 183: 176
Best fit for generation 184: 176
Best fit for generation 185: 176
Best fit for generation 186: 176
Best fit for generation 187: 176
Best fit for generation 188: 176
Best fit for generation 189: 176
Best fit for generation 190: 176
Best fit for generation 191: 176
Best fit for generation 192: 176
Best fit for generation 193: 176
Best fit for generation 194: 176
Best fit for generation 195: 176
Best fit for generation 196: 176
Best fit for generation 197: 176
Best fit for generation 198: 176
Best fit for generation 199: 176
Best fit for generation 200: 176
Best fit for generation 201: 176
Best fit for generation 202: 176
Best fit for generation 203: 176
Best fit for generation 204: 176
Best fit for generation 205: 176
Best fit for generation 206: 176
Best fit for generation 207: 176
Best fit for generation 208: 176
Best fit for generation 209: 176
Best fit for generation 210: 176
